,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,107,124
1,567,562
2,985,989
3,1450,1464
4,1924,1934
5,2433,2430
6,2867,2879
7,3320,3322
8,3830,3821
9,4252,4265
10,4683,4692
11,5100,5109
12,5552,5552
13,5926,5948
14,6357,6359
15,6778,6776
16,7235,7257
17,7611,7619
18,8007,8009
19,8776,8790
20,9233,9228
21,9672,9666
22,10124,10115
23,10502,10532
24,10907,10901
25,11287,11305
26,11778,11770
27,12257,12266
28,12674,12667
29,13204,13195
30,13622,13622
31,14070,14060
32,14552,14556
33,14983,14978
34,15415,15420
35,15798,15826
36,16233,16222
37,16667,16654
38,17063,17050
39,17498,17488
40,17928,17968
41,18393,18401
42,18822,18821
43,19239,19228
44,19730,19745
45,20213,20220
46,20626,20615
47,21109,21122
48,21522,21534
49,21961,21993
50,22417,22410
51,22859,22888
52,23285,23299
53,23672,23695
54,24098,24102
55,24528,24529
56,24967,24946
57,25367,25358
58,25811,25817
59,26233,26279
60,26674,26696
61,27096,27118
62,27513,27530
63,27983,27989
64,28443,28453
65,28861,28838
66,29261,29261
67,29691,29688
68,30111,30113
69,30502,30515
70,30941,30953
71,31433,31433
72,31915,31923
73,32372,32388
74,32850,32842
75,33280,33269
76,33685,33718
77,34143,34148
78,34600,34602
79,35039,35061
80,35478,35457
81,35935,35948
82,36361,36386
83,36817,36813
84,37261,37262
85,37667,37672
86,38176,38204
87,38602,38600
88,39054,39075
89,39489,39503
90,39933,39930
91,40376,40363
92,40776,40790
93,41211,41239
94,41635,41670
95,42052,42060
96,42465,42477
97,42891,42889
98,43291,43311
99,43700,43696
100,44157,44160
101,44561,44556
102,44952,44968
103,45402,45388
104,45833,45842
105,46263,46264
106,46676,46702
107,47041,47045
108,47407,47409
109,47759,47763
110,48172,48195
111,48537,48549
112,48891,48900
113,49291,49301
114,49648,49660
115,50022,50035
116,50448,50436
117,50852,50837
118,51261,51265
119,51670,51655
120,52070,52082
121,52452,52457
122,52902,52893
123,53307,53315
124,53720,53722
125,54098,54107
126,54507,54524
127,54928,54930
128,55346,55363
129,55750,55759
130,56141,56139
131,56565,56569
132,57017,57028
133,57417,57435
134,57857,57862
135,58278,58311
136,58704,58701
137,59122,59118
138,59561,59561
139,59961,59968
