,Time [s], RESP, PLETH, V, AVR, II
0,0.0,0.35386,0.43596999999999997,0.52549,0.30391999999999997,0.72549
1,0.008,0.35679,0.43206000000000006,0.51961,0.33529000000000003,0.6705899999999999
2,0.016,0.35875,0.42815,0.51569,0.37451,0.6098
3,0.024,0.36168,0.42423999999999995,0.50588,0.41961000000000004,0.55098
4,0.032,0.36364,0.42131,0.5098,0.44902,0.5
5,0.04,0.36559,0.41838000000000003,0.50588,0.48039,0.4549
6,0.048,0.36657,0.4174,0.51569,0.5098,0.4098
7,0.055999999999999994,0.36851999999999996,0.41641999999999996,0.51569,0.51961,0.3902
8,0.064,0.36851999999999996,0.41544,0.51961,0.5352899999999999,0.37451
9,0.07200000000000001,0.36851999999999996,0.41447,0.51961,0.5451,0.35882
10,0.08,0.36851999999999996,0.41251000000000004,0.52549,0.5451,0.3549
11,0.08800000000000001,0.36755,0.41153,0.52549,0.5549,0.34902
12,0.096,0.36657,0.40958,0.5352899999999999,0.55098,0.3549
13,0.10400000000000001,0.36559,0.40762,0.52941,0.5451,0.36471
14,0.11199999999999999,0.36168,0.40665,0.52549,0.5451,0.3549
15,0.12,0.35875,0.40665,0.5352899999999999,0.5451,0.36471
16,0.128,0.35288,0.40665,0.52549,0.5451,0.37451
17,0.136,0.34702,0.40762,0.51961,0.5352899999999999,0.37059000000000003
18,0.14400000000000002,0.34115,0.4086,0.51961,0.52941,0.3902
19,0.152,0.33431,0.4086,0.51961,0.52941,0.3902
20,0.16,0.32747,0.41056000000000004,0.51569,0.52941,0.3902
21,0.168,0.3216,0.41153,0.51961,0.51961,0.39411999999999997
22,0.17600000000000002,0.31183,0.41153,0.51569,0.51961,0.40392
23,0.184,0.30303,0.41056000000000004,0.51961,0.51961,0.40392
24,0.192,0.29228000000000004,0.4086,0.51569,0.51961,0.4
25,0.2,0.28152,0.40665,0.51961,0.52549,0.39411999999999997
26,0.20800000000000002,0.26882,0.40469,0.51569,0.52941,0.38431
27,0.21600000000000003,0.25611,0.40469,0.51961,0.52941,0.38431
28,0.22399999999999998,0.24241999999999997,0.40567,0.51569,0.52941,0.38039
29,0.23199999999999998,0.22874,0.4086,0.51961,0.51961,0.3902
30,0.24,0.21799000000000002,0.41251000000000004,0.52941,0.51569,0.40392
31,0.248,0.20626,0.42033000000000004,0.5549,0.5,0.41961000000000004
32,0.256,0.19648,0.43206000000000006,0.56471,0.50588,0.41961000000000004
33,0.264,0.18767999999999999,0.45258999999999994,0.5745100000000001,0.49412,0.42549
34,0.272,0.17790999999999998,0.4741,0.5451,0.5,0.42549
35,0.28,0.16910999999999998,0.4956,0.52941,0.5098,0.4
36,0.28800000000000003,0.16129000000000002,0.51808,0.5,0.51961,0.3902
37,0.29600000000000004,0.15347,0.5347,0.4902,0.51569,0.40392
38,0.304,0.14662999999999998,0.5503399999999999,0.47451000000000004,0.51569,0.41961000000000004
39,0.312,0.14076,0.56403,0.47058999999999995,0.5,0.42941
40,0.32,0.13685,0.57576,0.47451000000000004,0.5,0.43528999999999995
41,0.32799999999999996,0.13294,0.5845600000000001,0.49412,0.5098,0.42941
42,0.336,0.13001,0.59238,0.50588,0.51961,0.41568999999999995
43,0.344,0.1261,0.59629,0.51961,0.52549,0.4098
44,0.35200000000000004,0.12414000000000001,0.59922,0.51569,0.51961,0.41568999999999995
45,0.36,0.12120999999999998,0.60117,0.51569,0.51961,0.41961000000000004
46,0.368,0.11925999999999999,0.60215,0.5549,0.52549,0.40392
47,0.376,0.11632,0.60313,0.6451,0.55098,0.34902
48,0.384,0.11437,0.60313,0.55098,0.38431,0.6549
49,0.392,0.11241,0.60117,0.052940999999999995,-0.092157,1.5039
50,0.4,0.11045999999999999,0.59824,-0.5019600000000001,-0.43725,1.5039
51,0.408,0.1085,0.59335,-0.41176,-0.050980000000000004,1.5039
52,0.41600000000000004,0.10655,0.58553,0.2,0.4549,0.66078
53,0.424,0.10557000000000001,0.5777100000000001,0.43922,0.52941,0.42941
