,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,180,182
1,563,573
2,928,937
3,1315,1306
4,1672,1675
5,2050,2050
6,2446,2425
7,2785,2805
8,3163,3179
9,3567,3559
10,3926,3922
11,4309,4307
12,4678,4676
13,5052,5061
14,5417,5431
15,5813,5800
16,6170,6175
17,6583,6555
18,6909,6935
19,7309,7309
20,7676,7677
21,8054,8051
22,8428,8426
23,8807,8801
24,9189,9175
25,9541,9550
26,9941,9925
27,10298,10299
28,10676,10690
29,11063,11049
30,11430,11432
31,11796,11796
32,12174,12181
33,12539,12546
34,12957,12941
35,13317,13305
36,13691,13675
37,14048,14044
38,14448,14435
39,14800,14804
40,15180,15177
41,15537,15551
42,15933,15921
43,16298,16301
44,16680,16681
45,17050,17045
46,17437,17420
47,17789,17799
48,18185,18174
49,18528,18554
50,18935,18927
51,19304,19301
52,19661,19687
53,20048,20046
54,20430,20436
55,20809,20800
56,21170,21180
57,21565,21549
58,21909,21929
59,22309,22299
60,22680,22672
61,23033,23046
62,23476,23442
63,23820,23801
64,24163,24181
65,24537,24555
66,24924,24930
67,25320,25299
68,25685,25679
69,26041,26049
70,26417,26432
71,26791,26801
72,27183,27176
73,27552,27546
74,27930,27931
75,28326,28305
76,28678,28675
77,29057,29049
78,29470,29429
79,29800,29809
80,30189,30177
81,30554,30551
82,30941,30926
83,31293,31296
84,31672,31675
85,32033,32045
86,32420,32435
87,32807,32815
88,33167,33179
89,33533,33544
90,33939,33927
91,34304,34301
92,34687,34676
93,35061,35056
94,35413,35425
95,35796,35805
96,36183,36180
97,36543,36549
98,36935,36935
99,37304,37299
100,37667,37666
101,38076,38046
102,38446,38442
103,38785,38801
104,39176,39175
105,39537,39561
106,39924,39920
107,40302,40305
108,40689,40679
109,41020,41033
110,41435,41427
111,41796,41801
112,42178,42171
113,42530,42551
114,42939,42925
115,43313,43300
116,43739,43717
117,44074,44055
118,44413,44429
119,44796,44804
120,45167,45172
121,45563,45546
122,45924,45916
123,46307,46322
124,46667,46670
125,47037,47045
126,47446,47425
127,47889,47868
128,48167,48174
129,48541,48554
130,48909,48916
131,49296,49312
132,49678,49676
133,50035,50051
134,50430,50425
135,50804,50800
136,51178,51175
137,51548,51549
138,51917,51919
139,52309,52299
140,52672,52661
141,53059,53051
142,53424,53416
143,53789,53801
144,54167,54175
145,54541,54545
146,54920,54930
147,55293,55294
148,55685,55664
149,56059,56049
150,56439,56432
151,56809,56801
152,57170,57181
153,57552,57540
154,57939,57925
155,58313,58300
156,58661,58675
157,59048,59039
158,59417,59419
159,59804,59799
