,Time [s], I, RESP, II, V, PLETH
0,0.0,0.75977,0.0,0.10392,0.7098,0.45455
1,0.008,0.75977,0.0,0.10392,0.7098,0.44966000000000006
2,0.016,0.76562,0.0,0.10392,0.7098,0.44673
3,0.024,0.76953,0.0,0.10392,0.7098,0.44378999999999996
4,0.032,0.75977,0.0,0.10392,0.7098,0.44477
5,0.04,0.75977,0.0,0.10392,0.7098,0.4477
6,0.048,0.75977,0.0,0.10392,0.7098,0.45357
7,0.055999999999999994,0.75977,0.0,0.10392,0.7098,0.46237
8,0.064,0.76562,0.0,0.10392,0.7098,0.47213999999999995
9,0.07200000000000001,0.75977,0.0,0.098039,0.7098,0.48485
10,0.08,0.75977,0.0,0.098039,0.7098,0.49658
11,0.08800000000000001,0.76562,0.0,0.10392,0.7058800000000001,0.5092899999999999
12,0.096,0.75977,0.0,0.10392,0.7098,0.52199
13,0.10400000000000001,0.75977,0.0,0.10392,0.7058800000000001,0.53372
14,0.11199999999999999,0.75977,0.0,0.10392,0.7058800000000001,0.5435
15,0.12,0.75977,0.0,0.098039,0.7,0.5523
16,0.128,0.75977,0.0,0.10392,0.7058800000000001,0.56207
17,0.136,0.75977,0.0,0.094118,0.7058800000000001,0.57185
18,0.14400000000000002,0.75977,0.0,0.094118,0.7,0.57967
19,0.152,0.75977,0.0,0.094118,0.7098,0.58553
20,0.16,0.76562,0.0,0.098039,0.7058800000000001,0.59042
21,0.168,0.7539100000000001,0.0,0.08823500000000001,0.7098,0.59335
22,0.17600000000000002,0.7539100000000001,0.0,0.094118,0.7058800000000001,0.59433
23,0.184,0.75977,0.0,0.08823500000000001,0.7098,0.59433
24,0.192,0.75977,0.0,0.08823500000000001,0.7098,0.59238
25,0.2,0.75977,0.0,0.08823500000000001,0.7098,0.58944
26,0.20800000000000002,0.75977,0.0,0.078431,0.7098,0.5865100000000001
27,0.21600000000000003,0.75977,0.0,0.084314,0.7098,0.5826
28,0.22399999999999998,0.76562,0.0,0.098039,0.7058800000000001,0.5777100000000001
29,0.23199999999999998,0.75977,0.0,0.08823500000000001,0.7098,0.57185
30,0.24,0.75977,0.0,0.094118,0.7156899999999999,0.56403
31,0.248,0.75977,0.0,0.098039,0.7058800000000001,0.55718
32,0.256,0.75977,0.0,0.094118,0.7098,0.5483899999999999
33,0.264,0.75977,0.0,0.098039,0.7098,0.53959
