,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,407,409.0
1,820,842.0
2,1241,1248.0
3,1667,1660.0
4,2067,2077.0
5,2493,2488.0
6,2907,2910.0
7,3237,3243.0
8,3659,3665.0
9,3974,3969.0
10,4335,4344.0
11,4752,4761.0
12,5170,5177.0
13,5583,5589.0
14,5996,6001.0
15,6413,6428.0
16,6826,6840.0
17,7139,7135.0
18,7550,7545.0
19,7859,7861.0
20,8280,8284.0
21,8624,8627.0
22,9037,9049.0
23,9333,9339.0
24,9746,9740.0
25,10159,10162.0
26,10559,10563.0
27,10972,10985.0
28,11374,11395.0
29,11661,11675.0
30,12104,12118.0
31,12496,12503.0
32,12935,12915.0
33,13339,13332.0
34,13770,13754.0
35,14061,14086.0
36,14522,14482.0
37,14926,14920.0
38,15320,15314.0
39,15689,15668.0
40,15972,15968.0
41,16337,16322.0
42,16593,16602.0
43,17015,17024.0
44,17454,17430.0
45,17859,17858.0
46,18146,18137.0
47,18563,18549.0
48,18943,18927.0
49,19217,19228.0
50,19630,19623.0
51,20048,20030.0
52,20461,20462.0
53,20878,20890.0
54,21296,21301.0
55,21657,21650.0
56,22048,22056.0
57,22343,22352.0
58,22750,22756.0
59,23085,23088.0
60,23489,23500.0
61,23915,23922.0
62,24241,24223.0
63,24672,24645.0
64,24863,25088.0
65,25067,25336.0
66,25341,25774.0
67,25798,26228.0
68,26228,26659.0
69,26648,26997.0
70,26996,27377.0
71,27387,27699.0
72,27700,28105.0
73,28109,28543.0
74,28530,28854.0
75,28865,29266.0
76,29278,29693.0
77,29696,30018.0
78,30020,30435.0
79,30441,30863.0
80,30850,31253.0
81,31246,31686.0
82,31689,32077.0
83,32080,32451.0
84,32520,32873.0
85,32876,33322.0
86,33315,33728.0
87,33711,34069.0
88,34048,34486.0
89,34461,34882.0
90,34896,35241.0
91,35235,35689.0
92,35674,36038.0
93,36022,36513.0
94,36500,36819.0
95,36813,37209.0
96,37226,37624.0
97,37628,37988.0
98,37998,38405.0
99,38415,38685.0
100,38702,38970.0
101,38950,39397.0
102,39376,39803.0
103,39815,40220.0
104,40228,40637.0
105,40650,41065.0
106,41063,41363.0
107,41357,41786.0
108,41800,42187.0
109,42191,42609.0
110,42609,43042.0
111,43009,43353.0
112,43348,43791.0
113,43800,44071.0
114,44039,44493.0
115,44496,44794.0
116,44770,45203.0
117,45189,45530.0
118,45511,45937.0
119,45963,46248.0
120,46241,46675.0
121,46676,46950.0
122,46946,47372.0
123,47363,47805.0
124,47793,48079.0
125,48098,48507.0
126,48489,48922.0
127,48922,49344.0
128,49309,49676.0
129,49709,50114.0
130,50139,50536.0
131,50509,50943.0
132,50943,51370.0
133,51365,51761.0
134,51752,52167.0
135,52183,52478.0
136,52478,52883.0
137,52872,53289.0
138,53289,53706.0
139,53728,54102.0
140,54093,54513.0
141,54507,54872.0
142,54872,55321.0
143,55320,55716.0
144,55733,56054.0
145,56050,56458.0
146,56474,56886.0
147,56896,57176.0
148,57187,57604.0
149,57609,57925.0
150,57926,58205.0
151,58200,58611.0
152,58622,58907.0
153,58922,59324.0
154,59322,59746.0
155,59735,
