,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,98,103
1,415,404
2,707,715
3,1028,1026
4,1337,1348
5,1654,1644
6,1989,1976
7,2311,2303
8,2620,2620
9,2967,2963
10,3276,3280
11,3615,3612
12,3952,3958
13,4283,4286
14,4591,4613
15,4948,4940
16,5287,5267
17,5617,5615
18,5961,5953
19,6287,6286
20,6613,6608
21,6974,6966
22,7291,7309
23,7615,7629
24,7959,7951
25,8302,8294
26,8628,8621
27,8946,8938
28,9276,9265
29,9628,9629
30,9967,9962
31,10285,10289
32,10620,10595
33,10946,10954
34,11265,11274
35,11613,11606
36,11939,11939
37,12274,12261
38,12583,12598
39,12917,12915
40,13230,13242
41,13574,13580
42,13909,13907
43,14239,14245
44,14565,14561
45,14904,14904
46,15263,15251
47,15589,15588
48,15920,15921
49,16263,16253
50,16593,16591
51,16928,16918
52,17276,17266
53,17585,17594
54,17920,17921
55,18267,18253
56,18576,18575
57,18909,18900
58,19239,19233
59,19565,19565
60,19904,19903
61,20226,20225
62,20552,20547
63,20865,20863
64,21222,21217
65,21548,21534
66,21874,21866
67,22191,22193
68,22524,22518
69,22837,22840
70,23180,23168
71,23498,23489
72,23828,23822
73,24172,24170
74,24511,24508
75,24841,24846
76,25172,25173
77,25507,25500
78,25828,25827
79,26167,26165
80,26500,26511
81,26830,26817
82,27148,27155
83,27491,27498
84,27843,27846
85,28165,28168
86,28530,28527
87,28865,28859
88,29217,29203
89,29539,29535
90,29874,29878
91,30211,30214
92,30546,30546
93,30863,30863
94,31185,31195
95,31550,31544
96,31876,31908
97,32315,32303
98,32654,32646
99,32972,32984
100,33307,33301
101,33602,33623
102,33943,33948
103,34296,34301
104,34630,34634
105,34948,34945
106,35265,35267
107,35613,35605
108,35922,35927
109,36243,36249
110,36574,36571
111,36900,36903
112,37248,37235
113,37580,37582
114,37880,37877
115,38176,38168
116,38524,38521
117,38833,38822
118,39141,39128
119,39454,39471
120,39815,39782
121,40137,40136
122,40459,40447
123,40785,40790
124,41120,41128
125,41452,41458
126,41787,41775
127,42122,42118
128,42461,42466
129,42778,42778
130,43104,43105
131,43439,43437
132,43804,43796
133,44122,44134
134,44461,44451
135,44800,44794
136,45133,45140
137,45489,45483
138,45837,45821
139,46172,46169
140,46515,46522
141,46859,46871
142,47207,47214
143,47546,47557
144,47880,47889
145,48224,48222
146,48541,48538
147,48900,48900
148,49248,49249
149,49587,49592
150,49913,49935
151,50283,50283
152,50617,50605
153,50952,50943
154,51296,51286
155,51657,51650
156,51991,51982
157,52313,52315
158,52689,52698
159,53111,53109
160,53454,53458
161,53785,53785
162,54141,54139
163,54472,54466
164,54802,54803
165,55102,55115
166,55428,55437
167,55750,55764
168,56093,56096
169,56426,56427
170,56735,56738
171,57070,57081
172,57426,57419
173,57765,57746
174,58096,58100
175,58430,58427
176,58761,58759
177,59083,59086
178,59413,59424
179,59757,59757
