,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,128,140
1,650,657
2,1141,1153
3,1728,1723
4,2172,2193
5,2685,2689
6,3241,3211
7,3693,3686
8,4191,4201
9,4704,4708
10,5204,5241
11,5817,5811
12,6313,6323
13,6878,6845
14,7404,7425
15,7967,7972
16,8450,8447
17,8937,8896
18,9389,9381
19,9876,9851
20,10315,10336
21,10946,10922
22,11409,11400
23,11861,11875
24,12326,12361
25,12939,12931
26,13478,13474
27,14026,14034
28,14552,14535
29,15050,15055
30,15572,15573
31,16046,16079
32,16533,16554
33,17015,17040
34,17563,17583
35,18111,18121
36,18646,18644
37,19165,19164
38,19717,19724
39,20204,20204
40,20717,20737
41,21261,21249
42,21757,21734
43,22248,22246
44,22772,22788
45,23302,23315
46,23785,23806
47,24272,24313
48,24815,24830
49,25363,25347
50,25859,25859
51,26343,26358
52,26887,26907
53,27422,27435
54,27943,27957
55,28452,28458
56,28970,28970
57,29452,29445
58,29948,29962
59,30433,30430
60,30946,30958
61,31476,31485
62,32007,32018
63,32537,32525
64,33046,33058
65,33611,33612
66,34091,34090
67,34613,34618
68,35122,35141
69,35661,35658
70,36187,36191
71,36735,36734
72,37270,37262
73,37793,37766
74,38307,38294
75,38811,38806
76,39363,39355
77,39837,39856
78,40346,40352
79,40811,40817
80,41224,41228
81,41757,41775
82,42283,42271
83,42835,42825
84,43235,43247
85,43730,43728
86,44209,44224
87,44617,44604
88,45120,45098
89,45585,45583
90,46015,46037
91,46567,46565
92,47137,47135
93,47746,47726
94,48393,48375
95,49009,49016
96,49774,49766
97,50426,50436
98,51043,51059
99,51713,51697
100,52265,52262
101,52841,52835
102,53415,53400
103,53989,53985
104,54533,54550
105,55128,55136
106,55772,55774
107,56330,56332
108,56843,56854
109,57461,57461
110,57996,57984
111,58487,58485
112,59057,59028
113,59578,59577
