,Time [s], RESP, PLETH, I, MCL, II
0,0.0,0.84946,0.45943,0.75,0.35882,0.10392
1,0.008,0.82991,0.45258999999999994,0.75977,0.35882,0.10392
2,0.016,0.8103600000000001,0.44673,0.75977,0.35882,0.10392
3,0.024,0.79081,0.44086000000000003,0.75977,0.3549,0.10392
4,0.032,0.77028,0.43596999999999997,0.7539100000000001,0.35882,0.11373
5,0.04,0.74976,0.43109,0.75977,0.3549,0.11373
6,0.048,0.72727,0.44086000000000003,0.75977,0.3549,0.11961
7,0.055999999999999994,0.70577,0.45748,0.7753899999999999,0.3451,0.12353
8,0.064,0.68328,0.46334,0.7793,0.3451,0.12941
9,0.07200000000000001,0.6608,0.46431999999999995,0.7851600000000001,0.3451,0.11961
10,0.08,0.63636,0.46334,0.7851600000000001,0.33921999999999997,0.13333
11,0.08800000000000001,0.6129,0.45943,0.78906,0.33921999999999997,0.14902
12,0.096,0.5884699999999999,0.45552,0.79492,0.33921999999999997,0.14902
13,0.10400000000000001,0.56305,0.45161,0.80469,0.33529000000000003,0.14902
14,0.11199999999999999,0.53861,0.4477,0.81055,0.33529000000000003,0.14902
15,0.12,0.51417,0.44282,0.80469,0.33529000000000003,0.14902
16,0.128,0.48876000000000003,0.43891,0.81445,0.32941,0.14902
17,0.136,0.46431999999999995,0.43401999999999996,0.8242200000000001,0.32941,0.14902
18,0.14400000000000002,0.44086000000000003,0.42913,0.8242200000000001,0.33529000000000003,0.1549
19,0.152,0.41838000000000003,0.42522,0.8300799999999999,0.32941,0.14902
20,0.16,0.39589,0.41935,0.8242200000000001,0.32941,0.14902
21,0.168,0.37439,0.41447,0.82031,0.32941,0.14314000000000002
22,0.17600000000000002,0.35191,0.41153,0.81445,0.31961,0.13922
23,0.184,0.32942,0.40958,0.81055,0.31961,0.14902
24,0.192,0.30791999999999997,0.40762,0.81445,0.31373,0.14314000000000002
25,0.2,0.28543,0.40567,0.81055,0.31373,0.13333
26,0.20800000000000002,0.26393,0.40371,0.81055,0.31373,0.13333
27,0.21600000000000003,0.24241999999999997,0.40176,0.81055,0.31373,0.12941
28,0.22399999999999998,0.22091999999999998,0.3998,0.81055,0.31373,0.12353
29,0.23199999999999998,0.19941,0.39687,0.81055,0.3098,0.12941
30,0.24,0.17889000000000002,0.39296,0.81055,0.30391999999999997,0.12353
31,0.248,0.15738,0.38905,0.81055,0.3098,0.11961
32,0.256,0.13685,0.38514,0.79883,0.31373,0.12353
33,0.264,0.11632,0.38123,0.79883,0.3098,0.12941
34,0.272,0.09579700000000001,0.3783,0.78906,0.3098,0.12941
35,0.28,0.07624600000000001,0.37537,0.7851600000000001,0.31373,0.11961
36,0.28800000000000003,0.056696,0.37146,0.7793,0.31373,0.10392
37,0.29600000000000004,0.038123000000000004,0.36755,0.7851600000000001,0.31373,0.11373
38,0.304,0.018573,0.36364,0.76953,0.31373,0.11373
39,0.312,0.0,0.35973,0.76562,0.31373,0.12353
40,0.32,0.0,0.35679,0.76953,0.31373,0.12941
41,0.32799999999999996,0.0,0.35484,0.75977,0.31961,0.12353
42,0.336,0.0,0.35288,0.7753899999999999,0.31373,0.11961
43,0.344,0.0,0.35191,0.76562,0.31961,0.12941
44,0.35200000000000004,0.0,0.35191,0.76953,0.31961,0.13922
45,0.36,0.0,0.35191,0.7753899999999999,0.31961,0.12941
46,0.368,0.0,0.35191,0.76562,0.32353000000000004,0.12353
47,0.376,0.0,0.35386,0.76562,0.32353000000000004,0.11961
48,0.384,0.0,0.35679,0.7753899999999999,0.32353000000000004,0.12941
49,0.392,0.0,0.36168,0.7753899999999999,0.31961,0.14314000000000002
50,0.4,0.0,0.3695,0.76953,0.32353000000000004,0.12941
51,0.408,0.0,0.38025,0.7851600000000001,0.31373,0.12941
52,0.41600000000000004,0.0,0.39296,0.7851600000000001,0.31373,0.13333
53,0.424,0.0,0.40762,0.7851600000000001,0.31373,0.13333
54,0.43200000000000005,0.0,0.42522,0.7851600000000001,0.31373,0.14314000000000002
55,0.44,0.0,0.44477,0.7793,0.31373,0.15882000000000002
56,0.44799999999999995,0.0,0.4653,0.7851600000000001,0.31373,0.16863
57,0.456,0.0,0.48778,0.7851600000000001,0.31373,0.17451
