,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,33.0,40
1,372.0,356
2,663.0,636
3,1050.0,1058
4,1467.0,1433
5,1867.0,1839
6,2259.0,2261
7,2693.0,2689
8,3163.0,3137
9,3541.0,3528
10,3943.0,3916
11,4287.0,4280
12,4683.0,4666
13,5100.0,5125
14,5543.0,5547
15,5974.0,5958
16,6343.0,6354
17,6809.0,6808
18,7274.0,7267
19,7689.0,7687
20,8015.0,8004
21,8359.0,8347
22,8707.0,8737
23,9276.0,9286
24,9867.0,9819
25,10337.0,10321
26,10650.0,10648
27,10941.0,10848
28,11270.0,11218
29,11665.0,11627
30,12087.0,12086
31,12630.0,12614
32,13135.0,13110
33,13570.0,13569
34,14022.0,13965
35,14348.0,14382
36,14852.0,14857
37,15176.0,15187
38,15593.0,15583
39,16041.0,16011
40,16454.0,16449
41,16841.0,16828
42,17311.0,17288
43,17641.0,17625
44,18076.0,18047
45,18433.0,18427
46,18809.0,18800
47,19183.0,19170
48,19583.0,19544
49,19922.0,19924
50,20409.0,20404
51,20830.0,20827
52,21217.0,21212
53,21652.0,21608
54,22009.0,21982
55,22417.0,22404
56,22889.0,22904
57,23489.0,23463
58,23933.0,23912
59,24350.0,24297
60,24750.0,24745
61,25467.0,25463
62,25998.0,25985
63,26500.0,26495
64,26970.0,26976
65,27448.0,27408
66,27843.0,27815
67,28274.0,28221
68,28630.0,28638
69,29165.0,29123
70,29626.0,29625
71,29930.0,29915
72,30280.0,30272
73,30715.0,30710
74,31198.0,31169
75,31650.0,31644
76,32163.0,32150
77,32576.0,32583
78,33085.0,33074
79,33472.0,33449
80,33896.0,33911
81,34248.0,34249
82,34735.0,34687
83,35070.0,35051
84,35548.0,35526
85,35974.0,35943
86,36491.0,36486
87,36974.0,36972
88,37461.0,37441
89,38007.0,38004
90,38411.0,38368
91,38872.0,38875
92,39372.0,39360
93,39828.0,39814
94,40289.0,40294
95,40767.0,40785
96,41211.0,41191
97,41800.0,41791
98,42283.0,42271
99,42783.0,42762
100,43243.0,43210
101,43700.0,43706
102,44226.0,44197
103,44687.0,44651
104,45159.0,45161
105,45628.0,45625
106,46211.0,46195
107,46593.0,46565
108,46976.0,46987
109,47407.0,47398
110,47898.0,47873
111,48354.0,48354
112,48628.0,48644
113,49074.0,49080
114,49357.0,49323
115,49757.0,49739
116,50135.0,50141
117,50583.0,50584
118,50987.0,50995
119,51496.0,51486
120,52043.0,52035
121,52576.0,52555
122,53076.0,53041
123,53524.0,53511
124,53963.0,53964
125,54493.0,54455
126,54933.0,54956
127,55441.0,55426
128,55859.0,55854
129,56378.0,56358
130,56817.0,56828
131,57326.0,57313
132,57839.0,57841
133,58513.0,58173
134,58930.0,58506
135,59309.0,58902
136,59639.0,59303
137,,59614
