,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,85,82
1,367,372
2,650,646
3,933,926
4,1211,1201
5,1533,1538
6,1833,1828
7,2111,2119
8,2389,2393
9,2741,2736
10,3011,3016
11,3307,3317
12,3602,3596
13,3861,3869
14,4161,4148
15,4457,4433
16,4791,4787
17,5065,5077
18,5370,5352
19,5696,5689
20,5987,5995
21,6291,6275
22,6613,6618
23,6904,6914
24,7213,7193
25,7524,7529
26,7828,7825
27,8115,8109
28,8441,8453
29,8746,8753
30,9072,9038
31,9350,9371
32,9676,9677
33,9959,9962
34,10254,10247
35,10580,10584
36,10907,10891
37,11198,11170
38,11478,11501
39,11791,11780
40,12078,12086
41,12374,12361
42,12639,12641
43,12970,12973
44,13304,13295
45,13630,13627
46,13909,13902
47,14196,14208
48,14474,14466
49,14761,14751
50,15041,15040
51,15389,15377
52,15672,15673
53,16002,15974
54,16298,16306
55,16615,16612
56,16889,16887
57,17198,17166
58,17520,17520
59,17820,17810
60,18111,18095
61,18420,18427
62,18720,18728
63,19048,19016
64,19374,19375
65,19670,19650
66,19970,19987
67,20287,20283
68,20565,20568
69,20870,20853
70,21139,21127
71,21435,21407
72,21700,21687
73,22052,22051
74,22335,22330
75,22624,22608
76,22963,22962
77,23250,23257
78,23524,23526
79,23815,23811
80,24124,24139
81,24446,24450
82,24763,24745
83,25085,25088
84,25363,25363
85,25680,25669
86,26002,26001
87,26296,26284
88,26583,26580
89,26843,26854
90,27143,27134
91,27422,27424
92,27713,27699
93,28043,28057
94,28339,28337
95,28622,28617
96,28909,28896
97,29261,29250
98,29517,29530
99,29813,29809
100,30128,30092
101,30454,30451
102,30759,30741
103,31098,31090
104,31376,31380
105,31746,31712
106,32028,32024
107,32311,32309
108,32589,32588
109,32902,32868
110,33220,33232
111,33550,33522
112,33883,33885
113,34165,34164
114,34474,34460
115,34813,34808
116,35148,35151
117,35452,35452
118,35739,35742
119,36017,36016
120,36352,36365
121,36665,36660
122,36943,36935
123,37226,37220
124,37515,37508
125,37789,37777
126,38120,38120
127,38398,38410
128,38702,38690
129,39046,39044
130,39337,39339
131,39685,39687
132,39993,39988
133,40263,40268
134,40554,40547
135,40850,40832
136,41111,41102
137,41391,41379
138,41683,41670
139,42026,42013
140,42361,42366
141,42661,42651
142,42952,42947
143,43270,43242
144,43561,43522
145,43896,43881
146,44191,44166
147,44513,44514
148,44813,44815
149,45093,45092
150,45402,45425
151,45693,45704
152,45989,46005
153,46302,46290
154,46628,46644
155,46937,46934
156,47220,47214
157,47563,47562
158,47872,47858
159,48172,48148
160,48446,48422
161,48770,48774
162,49104,49069
163,49400,49418
164,49704,49708
165,49996,49993
166,50348,50352
167,50665,50642
168,50965,50985
169,51322,51296
170,51622,51623
171,51930,51924
172,52226,52220
173,52541,52540
174,52837,52851
175,53146,53141
176,53498,53489
177,53807,53780
178,54098,54117
179,54428,54423
180,54737,54708
181,55028,54988
182,55346,55342
183,55680,55637
184,55989,55991
185,56300,56279
186,56561,56559
187,56870,56891
188,57183,57181
189,57496,57482
190,57791,57778
191,58117,58137
192,58443,58422
193,58770,58775
194,59074,59065
195,59357,59350
196,59722,59714
