,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,63,71
1,541,541
2,1033,1042
3,1498,1496
4,1989,1987
5,2459,2456
6,2950,2947
7,3380,3369
8,3878,3879
9,4396,4365
10,4887,4882
11,5400,5404
12,5874,5879
13,6413,6407
14,6887,6887
15,7400,7394
16,7859,7856
17,8350,8352
18,8789,8785
19,9250,9255
20,9733,9730
21,10224,10220
22,10711,10722
23,11185,11181
24,11626,11633
25,12157,12144
26,12591,12593
27,13109,13110
28,13600,13601
29,14078,14076
30,14539,14535
31,15037,15034
32,15528,15520
33,15946,15947
34,16424,16422
35,16867,16871
36,17450,17446
37,17893,17879
38,18333,18338
39,18791,18790
40,19239,19233
41,19717,19703
42,20122,20119
43,20548,20552
44,21022,21016
45,21500,21491
46,21922,21919
47,22400,22399
48,22859,22856
49,23320,23310
50,23837,23832
51,24259,24265
52,24711,24703
53,25185,25189
54,25650,25648
55,26146,26149
56,26591,26590
57,27096,27108
58,27583,27582
59,28057,28057
60,28513,28511
61,29026,29049
62,29491,29487
63,29961,29957
64,30420,30420
65,30880,30879
66,31311,31317
67,31733,31744
68,32172,32166
69,32615,32631
70,33089,33069
71,33559,33565
72,34039,34043
73,34539,34528
74,34991,34982
75,35443,35436
76,35909,35916
77,36383,36386
78,36843,36834
79,37309,37309
80,37785,37782
81,38211,38210
82,38650,38664
83,39093,39102
84,39554,39550
85,40050,40036
86,40437,40437
87,40833,40832
88,41261,41263
89,41674,41670
90,42139,42134
91,42613,42604
92,43026,43031
93,43474,43464
94,43883,43875
95,44291,44292
96,44709,44704
97,45189,45161
98,45746,45752
99,46059,46053
100,46489,46470
101,46889,46897
102,47341,47340
103,47807,47778
104,48285,48285
105,48770,48768
106,49361,49359
107,49861,49856
108,50365,50362
109,50835,50832
110,51287,51291
111,51726,51729
112,52191,52183
113,52641,52629
114,53146,53136
115,53633,53606
116,54141,54107
117,54633,54629
118,55137,55141
119,55663,55669
120,56150,56149
121,56609,56601
122,57091,57081
123,57526,57519
124,58000,58005
125,58500,58495
126,58974,58960
127,59457,59456
128,59939,59936
