,Time [s], RESP, II, V, AVR, PLETH
0,0.0,0.2839,0.1999,0.59531,0.54985,1.306
1,0.008,0.27339,0.26002,0.58016,0.5351899999999999,1.2903
2,0.016,0.26313000000000003,0.31476,0.54008,0.5,1.2747
3,0.024,0.25214000000000003,0.32991,0.5,0.47018999999999994,1.2590000000000001
4,0.032,0.24139000000000002,0.3651,0.45992,0.45992,1.2444
5,0.04,0.23137,0.35973,0.45503000000000005,0.47996000000000005,1.2317
6,0.048,0.2216,0.34995,0.45992,0.52004,1.2209
7,0.055999999999999994,0.21256,0.3001,0.45503000000000005,0.56012,1.2141
8,0.064,0.20352,0.26002,0.47996000000000005,0.58016,1.2111
9,0.07200000000000001,0.19546,0.24975999999999998,0.47996000000000005,0.55523,1.2141
10,0.08,0.18739,0.28495,0.49511000000000005,0.49022,1.2248
11,0.08800000000000001,0.18006,0.30987,0.51515,0.46481000000000006,1.2434
12,0.096,0.17273,0.32502,0.52493,0.43988,1.2747
13,0.10400000000000001,0.16687000000000002,0.35484,0.47507,0.41007,1.3196
14,0.11199999999999999,0.16125,0.37977,0.45015,0.38514,1.3793
15,0.12,0.15661,0.38514,0.42473,0.37488,1.4526
16,0.128,0.15220999999999998,0.37977,0.41496000000000005,0.39003000000000004,1.5367
17,0.136,0.14903,0.37977,0.40469,0.41007,1.6276
18,0.14400000000000002,0.1461,0.37977,0.3998,0.41007,1.7214
19,0.152,0.14439000000000002,0.38514,0.39492,0.41496000000000005,1.8162
20,0.16,0.14293,0.41496000000000005,0.39492,0.41496000000000005,1.9091
21,0.168,0.14365999999999998,0.3998,0.38514,0.43988,1.9971
22,0.17600000000000002,0.14439000000000002,0.37488,0.41496000000000005,0.48485,2.0704
23,0.184,0.14684,0.30499,0.52004,0.51515,2.1319999999999997
24,0.192,0.14928,0.28006,0.6603100000000001,0.45992,2.1965
25,0.2,0.15197,0.57527,0.76002,0.20968,2.2581
26,0.20800000000000002,0.1549,0.68524,0.27468000000000004,0.06451599999999999,2.3167
27,0.21600000000000003,0.15783,0.6050800000000001,-0.50049,0.26002,2.3695
28,0.22399999999999998,0.16076,0.69013,-0.50049,0.54497,2.4184
29,0.23199999999999998,0.16394,0.46481000000000006,-0.46579,0.69501,2.4614
30,0.24,0.16710999999999998,0.35973,0.19501,0.71017,2.4985
31,0.248,0.17005,0.38514,0.54497,0.6002,2.5298
32,0.256,0.17322,0.42473,0.6202300000000001,0.52981,2.5543
33,0.264,0.17567,0.435,0.62512,0.50978,2.5718
34,0.272,0.17835,0.38514,0.6050800000000001,0.5351899999999999,2.5797
35,0.28,0.18031,0.36999,0.59531,0.52493,2.5787
36,0.28800000000000003,0.18250999999999998,0.37977,0.58016,0.50489,2.5728
37,0.29600000000000004,0.18275,0.37977,0.58016,0.49511000000000005,2.5591
38,0.304,0.183,0.37977,0.58504,0.49022,2.5386
39,0.312,0.18153,0.37977,0.58504,0.47996000000000005,2.5103
40,0.32,0.18031,0.39003000000000004,0.5899300000000001,0.45992,2.5523
41,0.32799999999999996,0.17737999999999998,0.39492,0.5899300000000001,0.45503000000000005,2.6246
42,0.336,0.17469,0.39003000000000004,0.56989,0.435,2.6285
43,0.344,0.17054,0.42473,0.58016,0.37488,2.5963
44,0.35200000000000004,0.16663,0.47018999999999994,0.565,0.3001,2.5484
45,0.36,0.16222999999999999,0.5,0.54497,0.25464000000000003,2.4936
46,0.368,0.15807000000000002,0.54008,0.50978,0.22483000000000003,2.4379
47,0.376,0.15342999999999998,0.58016,0.47996000000000005,0.21456999999999998,2.3891
48,0.384,0.14879,0.60997,0.45503000000000005,0.20968,2.3441
49,0.392,0.14342,0.6451600000000001,0.45503000000000005,0.21994,2.2991
50,0.4,0.13828,0.68035,0.44477,0.21994,2.2551
51,0.408,0.13267,0.70039,0.42473,0.22483000000000003,2.2121
52,0.41600000000000004,0.12729000000000001,0.71017,0.41984,0.23998000000000003,2.1691
53,0.424,0.1224,0.72532,0.43011000000000005,0.25464000000000003,2.1261
54,0.43200000000000005,0.11775999999999999,0.7199399999999999,0.45015,0.28006,2.0821
55,0.44,0.11335999999999999,0.71505,0.47507,0.29472,2.0381
56,0.44799999999999995,0.10897000000000001,0.71017,0.47996000000000005,0.29472,1.9922
57,0.456,0.10407999999999999,0.70039,0.46481000000000006,0.28495,1.9472
58,0.46399999999999997,0.099438,0.6652,0.45503000000000005,0.27468000000000004,1.9042
59,0.47200000000000003,0.094063,0.6002,0.45503000000000005,0.30987,1.868
60,0.48,0.08893200000000001,0.5351899999999999,0.45015,0.3348,1.8358
61,0.488,0.082824,0.49022,0.47018999999999994,0.30499,1.8006
62,0.496,0.076961,0.44477,0.47996000000000005,0.27468000000000004,1.7644
63,0.504,0.070364,0.42473,0.47507,0.27468000000000004,1.7273
64,0.512,0.064012,0.39492,0.45503000000000005,0.28495,1.6901
65,0.52,0.058637,0.34506,0.435,0.31476,1.651
66,0.528,0.053262000000000004,0.30987,0.42473,0.34506,1.6109
67,0.536,0.04862,0.28006,0.41984,0.37488,1.5709
68,0.544,0.043977999999999996,0.26002,0.43011000000000005,0.39003000000000004,1.5318
69,0.552,0.038847,0.24975999999999998,0.41496000000000005,0.40469,1.4936
70,0.56,0.033716,0.23998000000000003,0.40469,0.41496000000000005,1.4565
71,0.568,0.028097000000000004,0.22971999999999998,0.41984,0.435,1.4223
72,0.5760000000000001,0.022477,0.22483000000000003,0.43011000000000005,0.45503000000000005,1.3969
73,0.584,0.017835,0.22483000000000003,0.42473,0.45015,1.3754
