,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,393,298
1,802,625
2,1250,1037
3,1720,1617
4,2185,1923
5,2624,2430
6,3037,2894
7,3463,3253
8,3935,3723
9,4326,4154
10,4774,4544
11,5217,5135
12,5678,5468
13,6148,6038
14,6565,6433
15,7030,6829
16,7439,7341
17,7872,7672
18,8328,8088
19,8785,8616
20,9233,9065
21,9663,9555
22,10133,10020
23,10554,10373
24,10972,10790
25,11443,11202
26,11826,11685
27,12252,12081
28,12774,12503
29,13165,12984
30,13609,13385
31,14113,13875
32,14548,14297
33,15015,14894
34,15428,15372
35,15893,15752
36,16285,16190
37,16724,16522
38,17150,17040
39,17611,17430
40,18063,17889
41,18541,18327
42,18991,18842
43,19461,19317
44,19930,19824
45,20352,20257
46,20813,20652
47,21243,21138
48,21691,21534
49,22161,22014
50,22689,22478
51,23028,22935
52,23480,23358
53,23924,23796
54,24389,24207
55,24828,24708
56,25302,25199
57,25724,25574
58,26185,26033
59,26648,26516
60,27100,26944
61,27526,27440
62,28048,27852
63,28474,28369
64,28970,28775
65,29448,29340
66,29896,29767
67,30346,30193
68,30824,30694
69,31311,31116
70,31728,31617
71,32211,32040
72,32659,32536
73,33141,33032
74,33576,33454
75,33991,33879
76,34457,34354
77,34917,34792
78,35330,35204
79,35778,35679
80,36187,36106
81,36678,36539
82,37087,37003
83,37580,37468
84,38020,37925
85,38476,38352
86,38915,38832
87,39376,39244
88,39824,39708
89,40276,40083
90,40728,40637
91,41172,41054
92,41657,41474
93,42157,42034
94,42591,42487
95,43043,42889
96,43483,43337
97,43961,43849
98,44404,44329
99,44865,44767
100,45280,45177
101,45759,45625
102,46228,46137
103,46680,46575
104,47207,47050
105,47624,47478
106,48063,47926
107,48511,48412
108,48983,48863
109,49417,49301
110,49887,49708
111,50370,50241
112,50843,50742
113,51304,51170
114,51787,51687
115,52183,52030
116,52654,52513
117,53141,52978
118,53589,53489
119,54033,53906
120,54515,54392
121,55015,54846
122,55493,55368
123,55941,55843
124,56426,56300
125,56887,56765
126,57374,57245
127,58039,57641
128,58439,58332
129,58900,58738
130,59339,59224
131,59757,59651
