,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,67,55
1,1285,1264
2,2572,2578
3,3839,3842
4,5035,5051
5,6109,6117
6,7615,7645
7,8902,8880
8,10167,10173
9,11335,11284
10,12291,12276
11,13574,13564
12,14904,14925
13,16059,16053
14,17520,17483
15,18693,18644
16,20483,20468
17,21791,21771
18,22841,22851
19,23772,23759
20,24815,24809
21,26033,26044
22,27435,27429
23,28926,28923
24,30093,30055
25,31424,31417
26,32480,32467
27,33433,33427
28,34561,34555
29,35717,35726
30,37161,37167
31,38837,38796
32,40450,40453
33,41613,41585
34,42922,42904
35,44174,44171
36,45293,45277
37,46980,46960
38,48185,48158
39,49543,49539
40,50578,50594
41,51722,51703
42,53076,53057
43,54524,54518
44,55720,55706
45,56857,56865
46,57943,57915
47,58991,58970
