,Time [s], RESP, PLETH, II, V, AVR
0,0.0,0.19648,0.41447,0.41568999999999995,0.48039,0.49412
1,0.008,0.18964,0.41153,0.41961000000000004,0.48431,0.4902
2,0.016,0.18377000000000002,0.40958,0.4,0.4902,0.5
3,0.024,0.17693,0.40762,0.38431,0.48431,0.5098
4,0.032,0.17107,0.40665,0.37451,0.48039,0.51961
5,0.04,0.16618,0.40665,0.37451,0.47451000000000004,0.51569
6,0.048,0.16030999999999998,0.40665,0.4,0.47451000000000004,0.52549
7,0.055999999999999994,0.15445,0.40567,0.42549,0.47058999999999995,0.49412
8,0.064,0.14761,0.40567,0.42941,0.47451000000000004,0.5
9,0.07200000000000001,0.14076,0.40567,0.4451,0.43922,0.4902
10,0.08,0.13392,0.40567,0.46078,0.40392,0.49412
11,0.08800000000000001,0.12903,0.40469,0.50588,0.38039,0.46078
12,0.096,0.12317,0.40371,0.48431,0.35882,0.47451000000000004
13,0.10400000000000001,0.11925999999999999,0.40078,0.43922,0.3451,0.4902
14,0.11199999999999999,0.11535,0.39883,0.39411999999999997,0.3549,0.52549
15,0.12,0.11144000000000001,0.39687,0.38431,0.37059000000000003,0.52941
16,0.128,0.10753,0.39492,0.37451,0.3902,0.53922
17,0.136,0.10459,0.39296,0.3451,0.3902,0.55098
18,0.14400000000000002,0.10166,0.39100999999999997,0.31373,0.3902,0.5745100000000001
19,0.152,0.098729,0.38905,0.30391999999999997,0.3902,0.5745100000000001
20,0.16,0.096774,0.38514,0.29412,0.3902,0.58431
21,0.168,0.094819,0.38221,0.27451,0.4098,0.5902
22,0.17600000000000002,0.093842,0.37928,0.17843,0.50588,0.64118
23,0.184,0.092864,0.37732,0.14314000000000002,0.5902,0.6549
24,0.192,0.092864,0.37732,0.42941,0.62549,0.44902
25,0.2,0.093842,0.38123,0.8960799999999999,-0.031373000000000005,0.17843
26,0.20800000000000002,0.094819,0.38905,1.2569,-0.48823999999999995,0.058824
27,0.21600000000000003,0.09775199999999999,0.40274,1.102,-0.5019600000000001,0.22353
28,0.22399999999999998,0.10067999999999999,0.42228999999999994,0.83529,-0.24314000000000002,0.37059000000000003
29,0.23199999999999998,0.10557000000000001,0.44183999999999996,0.5745100000000001,0.094118,0.47058999999999995
30,0.24,0.10948,0.46334,0.3549,0.3098,0.5705899999999999
31,0.248,0.11437,0.48778,0.2451,0.40392,0.62549
32,0.256,0.11925999999999999,0.51222,0.2098,0.43528999999999995,0.6352899999999999
33,0.264,0.12512,0.53568,0.2,0.44902,0.6451
34,0.272,0.13099,0.55621,0.2098,0.44902,0.62549
35,0.28,0.13783,0.5747800000000001,0.2098,0.44902,0.6352899999999999
36,0.28800000000000003,0.14467,0.58944,0.21373000000000003,0.4451,0.62549
37,0.29600000000000004,0.15347,0.60117,0.2098,0.4451,0.6352899999999999
38,0.304,0.16129000000000002,0.60802,0.23333,0.4451,0.61569
39,0.312,0.17009000000000002,0.6129,0.22941,0.43922,0.61961
40,0.32,0.17889000000000002,0.61388,0.24902,0.43528999999999995,0.60588
41,0.32799999999999996,0.18767999999999999,0.61193,0.23922,0.43922,0.61569
42,0.336,0.19648,0.6070399999999999,0.2549,0.42941,0.6
43,0.344,0.2043,0.60117,0.24902,0.42549,0.60588
44,0.35200000000000004,0.21114000000000002,0.59335,0.26471,0.4098,0.59608
45,0.36,0.21799000000000002,0.58553,0.25882,0.4098,0.6
46,0.368,0.22385,0.5777100000000001,0.27451,0.39411999999999997,0.5902
47,0.376,0.22971999999999998,0.56989,0.26863000000000004,0.3902,0.58431
48,0.384,0.23656,0.56207,0.27843,0.38431,0.5902
49,0.392,0.24145,0.55132,0.2902,0.37451,0.5745100000000001
50,0.4,0.24731,0.53959,0.30391999999999997,0.36471,0.56471
51,0.408,0.2522,0.52688,0.32353000000000004,0.35882,0.5607800000000001
52,0.41600000000000004,0.25611,0.51417,0.3451,0.3549,0.53922
