,Time [s], RESP, PLETH, II, V, AVR
0,0.0,1.0,0.41641999999999996,0.20117000000000002,0.66471,0.7207
1,0.008,1.0,0.41153,0.20508,0.66471,0.70508
2,0.016,1.0,0.40665,0.2207,0.65098,0.68555
3,0.024,1.0,0.40078,0.23046999999999998,0.6451,0.66406
4,0.032,1.0,0.39492,0.2207,0.65098,0.6601600000000001
5,0.04,1.0,0.38905,0.21484,0.6451,0.66406
6,0.048,1.0,0.38416,0.2207,0.65098,0.6601600000000001
7,0.055999999999999994,1.0,0.37928,0.21094000000000002,0.66078,0.6601600000000001
8,0.064,1.0,0.37537,0.21484,0.66471,0.6601600000000001
9,0.07200000000000001,1.0,0.37243000000000004,0.20117000000000002,0.66471,0.6601600000000001
10,0.08,1.0,0.37048000000000003,0.20508,0.67647,0.66406
11,0.08800000000000001,1.0,0.36657,0.19530999999999998,0.6803899999999999,0.6601600000000001
12,0.096,1.0,0.36364,0.18945,0.6862699999999999,0.66992
13,0.10400000000000001,1.0,0.3607,0.18945,0.6803899999999999,0.67578
14,0.11199999999999999,1.0,0.35679,0.19530999999999998,0.6862699999999999,0.66992
15,0.12,1.0,0.35288,0.19530999999999998,0.6902,0.67578
16,0.128,1.0,0.34897,0.18945,0.6902,0.66992
17,0.136,1.0,0.34506,0.20508,0.6902,0.6601600000000001
18,0.14400000000000002,1.0,0.34018000000000004,0.22461,0.6902,0.64453
19,0.152,1.0,0.33529000000000003,0.23046999999999998,0.69608,0.63477
20,0.16,1.0,0.3304,0.24609,0.6902,0.6191399999999999
21,0.168,1.0,0.32649,0.25,0.6902,0.6191399999999999
22,0.17600000000000002,1.0,0.32356,0.25977,0.69608,0.61523
23,0.184,1.0,0.3216,0.25977,0.7,0.61523
24,0.192,1.0,0.31965,0.25586,0.69608,0.61523
25,0.2,1.0,0.31769000000000003,0.26953,0.67647,0.6191399999999999
26,0.20800000000000002,1.0,0.31574,0.22461,0.6705899999999999,0.6543
27,0.21600000000000003,1.0,0.31476,0.20508,0.67647,0.66992
28,0.22399999999999998,1.0,0.31574,0.19530999999999998,0.6705899999999999,0.67969
29,0.23199999999999998,1.0,0.31769000000000003,0.17969000000000002,0.6803899999999999,0.68555
30,0.24,1.0,0.32258000000000003,0.18555,0.6705899999999999,0.68945
31,0.248,1.0,0.32845,0.18945,0.67647,0.68555
32,0.256,1.0,0.33724,0.17578,0.6705899999999999,0.70508
33,0.264,1.0,0.34702,0.17578,0.6705899999999999,0.69531
34,0.272,1.0,0.35679,0.17578,0.6705899999999999,0.70508
35,0.28,1.0,0.36755,0.17578,0.6705899999999999,0.69922
36,0.28800000000000003,1.0,0.38123,0.16016,0.67647,0.70898
37,0.29600000000000004,1.0,0.39589,0.16602,0.6803899999999999,0.70508
38,0.304,1.0,0.41251000000000004,0.13086,0.6803899999999999,0.70898
39,0.312,1.0,0.43011000000000005,0.099609,0.6902,0.69531
40,0.32,1.0,0.4477,0.23046999999999998,0.62941,0.57031
41,0.32799999999999996,1.0,0.46431999999999995,0.5,0.4451,0.32031
