,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,4422.0,309
1,4965.0,1005
2,6000.0,1602
3,6752.0,2113
4,8489.0,2377
5,8933.0,2678
6,9385.0,3190
7,10733.0,3580
8,11059.0,3734
9,12917.0,4454
10,13378.0,5003
11,13852.0,5673
12,14343.0,5985
13,14939.0,6243
14,15785.0,6734
15,16237.0,7199
16,16693.0,7730
17,17380.0,8489
18,17798.0,8954
19,18359.0,9397
20,18870.0,9978
21,19452.0,10273
22,20430.0,10722
23,20857.0,11022
24,22243.0,11606
25,22902.0,12424
26,25111.0,12857
27,26970.0,13427
28,27600.0,13902
29,29204.0,14392
30,29483.0,14978
31,29909.0,15810
32,30398.0,16216
33,30724.0,16691
34,31093.0,17361
35,31589.0,17815
36,32224.0,18391
37,32637.0,18853
38,33054.0,19460
39,33459.0,20473
40,33922.0,20837
41,34483.0,21444
42,34926.0,21892
43,35457.0,22241
44,35978.0,22877
45,36413.0,23547
46,36874.0,24197
47,37074.0,24814
48,37452.0,25104
49,37589.0,25352
50,38015.0,25669
51,38467.0,25869
52,38946.0,26086
53,39502.0,26564
54,39828.0,26976
55,40193.0,27530
56,40780.0,28432
57,41089.0,29187
58,41370.0,29487
59,42309.0,29947
60,42891.0,30319
61,43870.0,30752
62,44343.0,31174
63,44839.0,31665
64,45333.0,32156
65,45807.0,32673
66,46207.0,33063
67,46667.0,33464
68,47215.0,33906
69,47654.0,34391
70,48211.0,34982
71,48689.0,35436
72,49187.0,36006
73,49613.0,36449
74,50004.0,36877
75,50535.0,37077
76,51057.0,37494
77,51522.0,38057
78,52017.0,38484
79,52465.0,38970
80,53076.0,39545
81,53554.0,39846
82,54067.0,40183
83,54524.0,40600
84,54985.0,40817
85,55480.0,41218
86,55924.0,41902
87,56361.0,42287
88,56813.0,42947
89,57309.0,43875
90,57896.0,44382
91,58409.0,44830
92,58917.0,45361
93,59413.0,45794
94,59891.0,46211
95,,46686
96,,47208
97,,47694
98,,48206
99,,48712
100,,49185
101,,49613
102,,50030
103,,50557
104,,50985
105,,51528
106,,52030
107,,52473
108,,53062
109,,53584
110,,54059
111,,54524
112,,55009
113,,55505
114,,55949
115,,56374
116,,56838
117,,57324
118,,57915
119,,58416
120,,58923
121,,59424
122,,59904
