,Time [s], PLETH, RESP, II, V, AVR
0,0.0,0.565,1.0,0.070312,0.79608,0.7803899999999999
1,0.008,0.56891,1.0,0.070312,0.83137,0.7803899999999999
2,0.016,0.57185,1.0,0.060547000000000004,0.78627,0.7902
3,0.024,0.5738,1.0,0.035156,0.82549,0.80588
4,0.032,0.5738,1.0,0.015625,0.7902,0.80588
5,0.04,0.5738,1.0,0.0,0.82549,0.82549
6,0.048,0.5738,1.0,0.0,0.7902,0.82549
7,0.055999999999999994,0.57185,1.0,-0.0039062,0.83137,0.82549
8,0.064,0.56891,1.0,-0.0039062,0.79608,0.83137
9,0.07200000000000001,0.56696,1.0,0.0,0.83137,0.82549
10,0.08,0.56403,1.0,0.0,0.79608,0.82549
11,0.08800000000000001,0.56109,1.0,0.005859399999999999,0.83529,0.82549
12,0.096,0.55816,1.0,0.005859399999999999,0.80588,0.82549
13,0.10400000000000001,0.55523,1.0,0.005859399999999999,0.85098,0.82549
14,0.11199999999999999,0.5523,1.0,0.015625,0.81176,0.82157
15,0.12,0.5493600000000001,1.0,0.015625,0.8411799999999999,0.82157
16,0.128,0.54643,1.0,0.044922000000000004,0.8451,0.8
17,0.136,0.5415399999999999,1.0,0.17578,0.82549,0.72549
18,0.14400000000000002,0.53568,1.0,0.43555,0.76667,0.5745100000000001
19,0.152,0.52981,1.0,0.8691399999999999,0.7058800000000001,0.33529000000000003
20,0.16,0.5229699999999999,1.0,1.0996,0.6,0.2098
21,0.168,0.51515,1.0,0.8691399999999999,0.56471,0.35882
22,0.17600000000000002,0.50635,1.0,0.2207,0.6902,0.73137
23,0.184,0.49853000000000003,1.0,-0.24023000000000003,0.8,0.9764700000000001
24,0.192,0.49168999999999996,1.0,-0.25,0.83137,0.94706
25,0.2,0.48583000000000004,1.0,-0.10352,0.8,0.8862700000000001
26,0.20800000000000002,0.47898,1.0,-0.035156,0.8411799999999999,0.8411799999999999
27,0.21600000000000003,0.4741,1.0,-0.009765600000000001,0.81176,0.83137
28,0.22399999999999998,0.47213999999999995,1.0,0.0,0.85098,0.82549
29,0.23199999999999998,0.47116,1.0,0.005859399999999999,0.82549,0.81176
30,0.24,0.47018999999999994,0.99511,0.015625,0.86667,0.81176
31,0.248,0.47018999999999994,0.98925,0.015625,0.8411799999999999,0.80588
32,0.256,0.47018999999999994,0.9824,0.025391,0.8764700000000001,0.8156899999999999
33,0.264,0.47018999999999994,0.97654,0.03125,0.8411799999999999,0.80588
34,0.272,0.46823000000000004,0.97067,0.041016000000000004,0.88039,0.80588
35,0.28,0.46628000000000003,0.9648100000000001,0.041016000000000004,0.8411799999999999,0.80588
36,0.28800000000000003,0.46334,0.9599200000000001,0.041016000000000004,0.8764700000000001,0.8
37,0.29600000000000004,0.46041000000000004,0.95406,0.050781,0.83137,0.7902
38,0.304,0.4565,0.94819,0.060547000000000004,0.86667,0.78627
39,0.312,0.45258999999999994,0.9423299999999999,0.064453,0.82549,0.7803899999999999
40,0.32,0.44966000000000006,0.93548,0.076172,0.8607799999999999,0.77647
41,0.32799999999999996,0.44673,0.9296200000000001,0.085938,0.82549,0.76667
42,0.336,0.44477,0.9227799999999999,0.095703,0.85098,0.77059
43,0.344,0.44282,0.91691,0.10547000000000001,0.8568600000000001,0.7549
44,0.35200000000000004,0.44086000000000003,0.91202,0.11133,0.82157,0.7549
45,0.36,0.43891,0.9061600000000001,0.125,0.8451,0.75098
46,0.368,0.43793000000000004,0.8993200000000001,0.13086,0.8,0.7451
47,0.376,0.43695,0.89345,0.14062,0.83529,0.73529
48,0.384,0.435,0.88661,0.14453,0.79608,0.73137
49,0.392,0.43304,0.87977,0.14453,0.83137,0.73529
50,0.4,0.43011000000000005,0.87195,0.14453,0.80588,0.73137
51,0.408,0.42717,0.86413,0.14062,0.8451,0.73137
52,0.41600000000000004,0.42522,0.8563,0.125,0.8156899999999999,0.73529
53,0.424,0.42326,0.84751,0.10547000000000001,0.8568600000000001,0.7549
54,0.43200000000000005,0.42423999999999995,0.8396899999999999,0.085938,0.83137,0.76078
55,0.44,0.42522,0.8318700000000001,0.060547000000000004,0.88039,0.7803899999999999
56,0.44799999999999995,0.4262,0.82405,0.035156,0.8568600000000001,0.8
57,0.456,0.42717,0.81623,0.015625,0.90196,0.81176
58,0.46399999999999997,0.42717,0.80743,-0.0039062,0.88039,0.82549
