,Time [s], RESP, PLETH, II, MCL, AVR
0,0.0,0.66178,0.30401,0.39411999999999997,0.80469,0.5898399999999999
1,0.008,0.66276,0.29912,0.3902,0.80469,0.5996100000000001
2,0.016,0.66471,0.29619,0.39411999999999997,0.81055,0.5957
3,0.024,0.66471,0.29325999999999997,0.40392,0.79883,0.58398
4,0.032,0.66569,0.2913,0.41568999999999995,0.80469,0.57422
5,0.04,0.66667,0.29031999999999997,0.4098,0.79492,0.58008
6,0.048,0.66667,0.29031999999999997,0.43528999999999995,0.80469,0.56055
7,0.055999999999999994,0.66764,0.2913,0.44902,0.81055,0.55078
8,0.064,0.66862,0.29228000000000004,0.48039,0.81445,0.5293
9,0.07200000000000001,0.66862,0.29325999999999997,0.49412,0.82031,0.51562
10,0.08,0.6696,0.29619,0.52941,0.8242200000000001,0.48438000000000003
11,0.08800000000000001,0.6705800000000001,0.29814,0.56471,0.8300799999999999,0.46093999999999996
12,0.096,0.6705800000000001,0.30108,0.59608,0.8339799999999999,0.43555
13,0.10400000000000001,0.6705800000000001,0.30303,0.62549,0.8339799999999999,0.41602
14,0.11199999999999999,0.6705800000000001,0.30499,0.65098,0.8300799999999999,0.39453
15,0.12,0.6705800000000001,0.30694,0.6549,0.82031,0.39061999999999997
16,0.128,0.6705800000000001,0.30791999999999997,0.62941,0.79883,0.4043
17,0.136,0.6705800000000001,0.3089,0.60588,0.7793,0.41991999999999996
18,0.14400000000000002,0.6705800000000001,0.3089,0.56471,0.76562,0.46093999999999996
19,0.152,0.6696,0.30987,0.51961,0.7539100000000001,0.49023
20,0.16,0.66862,0.30987,0.46471,0.74023,0.5293
21,0.168,0.66667,0.30987,0.41568999999999995,0.7148399999999999,0.56055
22,0.17600000000000002,0.66471,0.30987,0.39411999999999997,0.70898,0.58398
23,0.184,0.66276,0.30987,0.37059000000000003,0.69922,0.5957
24,0.192,0.65982,0.30987,0.34902,0.69922,0.61523
25,0.2,0.65689,0.30987,0.35882,0.70508,0.60938
26,0.20800000000000002,0.65396,0.30987,0.33921999999999997,0.70508,0.625
27,0.21600000000000003,0.65005,0.31085,0.33529000000000003,0.69922,0.6289100000000001
28,0.22399999999999998,0.6461399999999999,0.30987,0.3549,0.67969,0.60547
29,0.23199999999999998,0.64223,0.3089,0.35882,0.67578,0.60547
30,0.24,0.63734,0.30694,0.34902,0.66406,0.6191399999999999
31,0.248,0.63343,0.30499,0.3549,0.66406,0.60547
32,0.256,0.62952,0.30401,0.34902,0.6543,0.60938
33,0.264,0.62561,0.30205,0.34902,0.6543,0.60547
34,0.272,0.6217,0.3001,0.35882,0.64062,0.60547
35,0.28,0.61779,0.29814,0.36471,0.64062,0.5996100000000001
36,0.28800000000000003,0.6129,0.29521,0.37059000000000003,0.6503899999999999,0.5996100000000001
37,0.29600000000000004,0.6089899999999999,0.29228000000000004,0.36471,0.64062,0.60547
38,0.304,0.60411,0.28935,0.35882,0.64453,0.60547
39,0.312,0.60117,0.28739000000000003,0.36471,0.64062,0.5996100000000001
40,0.32,0.59726,0.28446,0.37059000000000003,0.6543,0.5996100000000001
41,0.32799999999999996,0.59433,0.28152,0.38039,0.64453,0.5898399999999999
42,0.336,0.5914,0.27760999999999997,0.37059000000000003,0.6503899999999999,0.5996100000000001
43,0.344,0.5884699999999999,0.27273000000000003,0.37059000000000003,0.6503899999999999,0.5996100000000001
44,0.35200000000000004,0.5865100000000001,0.26979000000000003,0.37451,0.66992,0.5957
45,0.36,0.5845600000000001,0.26882,0.4,0.68945,0.58398
46,0.368,0.5826,0.27076999999999996,0.39411999999999997,0.70508,0.58398
47,0.376,0.58065,0.27760999999999997,0.41961000000000004,0.7148399999999999,0.56055
48,0.384,0.5777100000000001,0.29031999999999997,0.42549,0.7207,0.56055
49,0.392,0.57576,0.30987,0.43922,0.70508,0.55078
50,0.4,0.5728300000000001,0.33236,0.43922,0.67578,0.54492
51,0.408,0.57087,0.35875,0.41961000000000004,0.63477,0.56055
52,0.41600000000000004,0.56794,0.39296,0.41568999999999995,0.61523,0.56055
53,0.424,0.565,0.43109,0.4098,0.5996100000000001,0.55469
54,0.43200000000000005,0.56305,0.47312,0.4,0.6191399999999999,0.57031
55,0.44,0.56012,0.51417,0.39411999999999997,0.64062,0.58008
56,0.44799999999999995,0.55718,0.55523,0.38431,0.6601600000000001,0.5957
57,0.456,0.55425,0.59238,0.36471,0.6503899999999999,0.60547
58,0.46399999999999997,0.55132,0.62561,0.35882,0.6503899999999999,0.60547
59,0.47200000000000003,0.5474100000000001,0.65494,0.37059000000000003,0.64062,0.5996100000000001
60,0.48,0.54448,0.6784,0.36471,0.64453,0.60547
61,0.488,0.54057,0.69697,0.35882,0.6503899999999999,0.60938
