,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,385.0,388
1,1020.0,1058
2,1702.0,1697
3,2185.0,2182
4,2993.0,2942
5,3563.0,3644
6,4300.0,4317
7,4883.0,4940
8,5696.0,5626
9,6317.0,6381
10,7009.0,6977
11,7867.0,7846
12,8498.0,8500
13,9150.0,9112
14,9867.0,9851
15,10533.0,10447
16,11072.0,11144
17,11791.0,11823
18,12483.0,12498
19,13135.0,13184
20,13870.0,13944
21,14557.0,14625
22,15285.0,15282
23,15989.0,16016
24,16759.0,16828
25,17502.0,17509
26,18207.0,18206
27,18707.0,18879
28,19348.0,19381
29,20100.0,20177
30,20861.0,20863
31,21539.0,21608
32,22135.0,22209
33,22854.0,22883
34,23489.0,23484
35,24067.0,24149
36,24759.0,24840
37,25398.0,25516
38,26107.0,26112
39,26865.0,26954
40,27552.0,27630
41,28209.0,28263
42,28935.0,29013
43,29570.0,29614
44,30367.0,30383
45,30933.0,30963
46,31628.0,31675
47,32311.0,32409
48,32941.0,33016
49,33698.0,33863
50,34470.0,34650
51,35339.0,35478
52,36074.0,36175
53,36796.0,36877
54,37413.0,37561
55,38924.0,38421
56,39641.0,39028
57,40411.0,39714
58,41059.0,40474
59,41757.0,41263
60,42483.0,41875
61,43165.0,42625
62,43887.0,43163
63,44661.0,43918
64,45320.0,44667
65,46037.0,45409
66,46707.0,46111
67,47507.0,46802
68,48237.0,47478
69,48830.0,48153
70,49613.0,48827
71,50270.0,49666
72,51057.0,50357
73,51735.0,51053
74,52491.0,51750
75,53324.0,52619
76,54011.0,53389
77,54733.0,53985
78,55359.0,54751
79,56054.0,55220
80,56835.0,56102
81,58717.0,56643
82,,57556
83,,57915
84,,58290
85,,58701
86,,58997
87,,59245
88,,59461
