,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,89.0,66
1,602.0,615
2,1085.0,1079
3,1576.0,1554
4,2115.0,2108
5,2602.0,2604
6,3046.0,3016
7,3385.0,3406
8,3724.0,3739
9,4148.0,4159
10,4609.0,4629
11,5022.0,5019
12,5574.0,5542
13,6070.0,6043
14,6552.0,6560
15,7022.0,7035
16,7533.0,7540
17,8093.0,8104
18,8602.0,8600
19,9098.0,9086
20,9485.0,9492
21,9872.0,9883
22,10328.0,10342
23,10780.0,10764
24,11189.0,11175
25,12617.0,11453
26,13170.0,11722
27,13670.0,11954
28,14174.0,12619
29,14630.0,13158
30,15107.0,13691
31,15589.0,14160
32,16059.0,14635
33,16480.0,15108
34,16967.0,15588
35,17393.0,16047
36,17920.0,16485
37,18354.0,16945
38,18559.0,17377
39,18804.0,17931
40,19087.0,18369
41,19422.0,18832
42,19574.0,19080
43,20083.0,19433
44,20722.0,20077
45,21178.0,20710
46,21422.0,21191
47,22004.0,22030
48,22487.0,22484
49,22924.0,22935
50,23337.0,23336
51,23802.0,23796
52,24267.0,24270
53,24720.0,24703
54,25211.0,25183
55,25520.0,25547
56,26080.0,26107
57,26552.0,26532
58,26996.0,27002
59,27461.0,27451
60,27870.0,27867
61,28335.0,28279
62,28578.0,28596
63,29274.0,29023
64,29665.0,29635
65,30667.0,30620
66,31120.0,31127
67,31580.0,31602
68,32128.0,32129
69,32698.0,32694
70,33159.0,33121
71,33913.0,33369
72,34417.0,33932
73,34961.0,34423
74,35470.0,34956
75,35891.0,35441
76,36848.0,35911
77,37754.0,36412
78,38180.0,36850
79,38680.0,37246
80,39289.0,37724
81,39850.0,38162
82,40359.0,38658
83,40854.0,38949
84,41500.0,39281
85,41961.0,39867
86,42461.0,40368
87,42874.0,40880
88,43357.0,41175
89,43861.0,41527
90,44500.0,41981
91,44948.0,42472
92,45407.0,42878
93,45854.0,43363
94,46480.0,43859
95,46733.0,44509
96,46976.0,44952
97,47363.0,45420
98,47780.0,45847
99,48207.0,46280
100,48715.0,46512
101,49348.0,46728
102,49813.0,46982
103,50252.0,47367
104,50609.0,47805
105,51074.0,48201
106,51513.0,48707
107,51730.0,49338
108,51970.0,49782
109,52487.0,50235
110,53011.0,50600
111,53467.0,51085
112,53972.0,51513
113,54446.0,51729
114,55020.0,51987
115,55550.0,52489
116,56015.0,53009
117,56500.0,53600
118,56909.0,53975
119,57309.0,54455
120,57626.0,55009
121,57852.0,55511
122,58422.0,56038
123,58900.0,56495
124,59435.0,57002
125,59952.0,57303
126,,57625
127,,57862
128,,58416
129,,58902
130,,59440
131,,59957
