,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,37,40
1,450,462
2,876,900
3,1263,1301
4,1689,1734
5,2154,2145
6,2554,2541
7,2946,2953
8,3354,3364
9,3796,3790
10,4213,4222
11,4622,4629
12,5052,5051
13,5330,5346
14,5713,5726
15,6135,6133
16,6565,6571
17,7043,7046
18,7457,7452
19,7859,7851
20,8254,8257
21,8680,8685
22,9111,9112
23,9554,9555
24,9898,9920
25,10180,10194
26,10550,10558
27,10946,10959
28,11370,11374
29,11843,11854
30,12278,12276
31,12665,12672
32,13070,13063
33,13465,13448
34,13839,13844
35,14283,14287
36,14713,14714
37,15111,15124
38,15550,15551
39,15950,15953
40,16333,16343
41,16767,16776
42,17185,17187
43,17598,17583
44,17985,17989
45,18367,18369
46,18809,18821
47,19252,19254
48,19626,19629
49,20000,20003
50,20374,20357
51,20726,20721
52,21113,21111
53,21522,21518
54,21943,21945
55,22387,22389
56,22802,22803
57,23220,23220
58,23637,23637
59,24020,24022
60,24420,24413
61,24846,24840
62,25263,25268
63,25667,25664
64,26059,26070
65,26465,26474
66,26883,26875
67,27283,27282
68,27683,27688
69,28065,28078
70,28474,28469
71,28865,28854
72,29296,29287
73,29730,29725
74,30120,30119
75,30533,30525
76,30941,30947
77,31367,31364
78,31776,31781
79,32198,32203
80,32624,32615
81,33028,33026
82,33402,33406
83,33835,33832
84,34243,34249
85,34630,34639
86,35061,35061
87,35465,35468
88,35891,35895
89,36274,36270
90,36674,36666
91,37061,37061
92,37478,37484
93,37863,37872
94,38237,38231
95,38667,38664
96,39093,39091
97,39502,39497
98,39946,39946
99,40341,40336
100,40772,40759
101,41185,41191
102,41583,41585
103,41930,41928
104,42261,42261
105,42643,42651
106,43070,43063
107,43465,43474
108,43939,43928
109,44365,44371
110,44822,44820
111,45220,45214
112,45602,45599
113,46037,46032
114,46485,46491
115,46898,46897
116,47320,47330
117,47737,47731
118,48180,48174
119,48580,48580
120,48970,48974
121,49387,49396
122,49748,49750
123,50048,50040
124,50352,50352
125,50722,50732
126,51165,51170
127,51622,51623
128,52030,52030
129,52461,52457
130,52885,52888
131,53315,53310
132,53715,53716
133,54150,54154
134,54559,54540
135,54972,54972
136,55393,55410
137,55820,55822
138,56215,56228
139,56626,56627
140,57035,57044
141,57400,57392
142,57657,57688
143,58091,58094
144,58509,58527
145,58957,58981
146,59422,59451
147,59848,59857
