,Time [s], RESP, II, V, AVR, PLETH
0,0.0,0.23088000000000003,0.060059,0.55518,0.70528,2.7449
1,0.008,0.23675,0.064941,0.5498,0.70039,2.8524
2,0.016,0.24114000000000002,0.055175999999999996,0.49512,0.70528,2.9130000000000003
3,0.024,0.24579,0.3999,0.5249,0.52493,2.9267
4,0.032,0.24921,1.145,0.62988,0.069892,2.8974
5,0.04,0.25263,1.5,0.93506,-0.2957,2.8368
6,0.048,0.25458000000000003,1.2998,1.3296,0.01955,2.7527
7,0.055999999999999994,0.25678,0.13525,1.1348,0.70528,2.6549
8,0.064,0.25751,-0.34961,0.79492,0.97556,2.5523
9,0.07200000000000001,0.25825,-0.24463000000000001,0.62988,0.89541,2.4506
10,0.08,0.25678,-0.029785000000000002,0.5898399999999999,0.75513,2.3627
11,0.08800000000000001,0.25531,0.030273,0.55518,0.71505,2.2874
12,0.096,0.25165,0.035156,0.5249,0.71017,2.2159999999999997
13,0.10400000000000001,0.24823,0.044922000000000004,0.50488,0.70528,2.1525
14,0.11199999999999999,0.24334,0.055175999999999996,0.49512,0.69501,2.0987
15,0.12,0.2387,0.060059,0.49023,0.68524,2.0518
16,0.128,0.23284000000000002,0.070312,0.50488,0.68524,2.0098
17,0.136,0.22721999999999998,0.080078,0.49512,0.67498,1.9697
18,0.14400000000000002,0.22086,0.084961,0.50977,0.67498,1.9296
19,0.152,0.21450999999999998,0.1001,0.5,0.6603100000000001,1.8876
20,0.16,0.20792,0.12012,0.50977,0.65494,1.8426
21,0.168,0.20132,0.12988,0.50488,0.6349,1.7947
22,0.17600000000000002,0.19643,0.1499,0.5200199999999999,0.62512,1.7468
23,0.184,0.19155,0.16992000000000002,0.50977,0.60997,1.7048
24,0.192,0.18813,0.18506,0.5200199999999999,0.5899300000000001,1.6676
25,0.2,0.18495,0.20995999999999998,0.50977,0.57527,1.6305
26,0.20800000000000002,0.183,0.22021,0.52979,0.565,1.5973
27,0.21600000000000003,0.18129,0.22998000000000002,0.50977,0.54985,1.5709
28,0.22399999999999998,0.18104,0.25,0.5200199999999999,0.5351899999999999,1.5523
29,0.23199999999999998,0.18104,0.28026999999999996,0.50977,0.51515,1.5406
30,0.24,0.18422,0.29491999999999996,0.5200199999999999,0.5,1.5357
31,0.248,0.18739,0.31494,0.5151399999999999,0.48485,1.5367
32,0.256,0.19301,0.31982,0.5351600000000001,0.47996000000000005,1.5415
33,0.264,0.19888,0.33496,0.5498,0.47507,1.5484
34,0.272,0.20498000000000002,0.33984000000000003,0.56982,0.47996000000000005,1.5552
35,0.28,0.21134,0.33496,0.58008,0.49511000000000005,1.5611
36,0.28800000000000003,0.21793,0.31006,0.5898399999999999,0.51515,1.5659999999999998
37,0.29600000000000004,0.22453,0.2749,0.6049800000000001,0.54985,1.5679
38,0.304,0.23235,0.22998000000000002,0.59521,0.58504,1.5659999999999998
39,0.312,0.24017,0.18506,0.6049800000000001,0.6148600000000001,1.5611
40,0.32,0.24871999999999997,0.15527,0.58496,0.6349,1.5523
41,0.32799999999999996,0.25727,0.12988,0.59521,0.65494,1.5396
42,0.336,0.2646,0.12012,0.5898399999999999,0.6603100000000001,1.5230000000000001
43,0.344,0.27193,0.10985999999999999,0.6049800000000001,0.6652,1.5034
44,0.35200000000000004,0.27779,0.11523,0.5898399999999999,0.6603100000000001,1.4809
45,0.36,0.2839,0.11523,0.6049800000000001,0.6652,1.4565
46,0.368,0.28805,0.12012,0.5898399999999999,0.6603100000000001,1.4291
47,0.376,0.29220999999999997,0.12012,0.6049800000000001,0.6603100000000001,1.3998
48,0.384,0.29465,0.12988,0.6001,0.65494,1.3744
49,0.392,0.29734,0.12988,0.61475,0.65494,1.3509
50,0.4,0.29856,0.12988,0.6001,0.65494,1.3226
51,0.408,0.30002,0.14014000000000001,0.61475,0.65005,1.2923
52,0.41600000000000004,0.30027,0.13525,0.6049800000000001,0.6451600000000001,1.262
53,0.424,0.30075999999999997,0.14502,0.61475,0.64027,1.2336
54,0.43200000000000005,0.30051,0.1499,0.6049800000000001,0.6349,1.2063
55,0.44,0.30027,0.14502,0.6098600000000001,0.6349,1.1799
56,0.44799999999999995,0.29954000000000003,0.1499,0.6001,0.6349,1.1544
57,0.456,0.29905,0.16016,0.59521,0.6202300000000001,1.13
58,0.46399999999999997,0.29954000000000003,0.20508,0.625,0.58504,1.1065
59,0.47200000000000003,0.30002,0.24511999999999998,0.6450199999999999,0.55523,1.0831
60,0.48,0.30149000000000004,0.2749,0.6499,0.5351899999999999,1.0635
61,0.488,0.30296,0.28515999999999997,0.65479,0.52981,1.0469
62,0.496,0.30564,0.31006,0.6748,0.51515,1.0283
63,0.504,0.30858,0.29004,0.6601600000000001,0.52004,1.0137
64,0.512,0.31224,0.26025,0.6499,0.5351899999999999,1.0098
65,0.52,0.31615,0.25,0.6450199999999999,0.54008,1.0283
66,0.528,0.32006,0.20508,0.625,0.56989,1.0782
67,0.536,0.32421,0.16504000000000002,0.62012,0.60997,1.1691
68,0.544,0.32861,0.1001,0.6049800000000001,0.6603100000000001,1.3089
69,0.552,0.33301,0.080078,0.5898399999999999,0.67498,1.4966
70,0.56,0.33838,0.064941,0.59521,0.69013,1.7224
71,0.568,0.344,0.060059,0.58008,0.69501,1.9717
72,0.5760000000000001,0.35011,0.060059,0.5898399999999999,0.70039,2.2248
73,0.584,0.35646,0.055175999999999996,0.58008,0.70039,2.435
74,0.5920000000000001,0.36184,0.044922000000000004,0.5752,0.70528,2.6041
75,0.6,0.36721,0.10985999999999999,0.52979,0.67498,2.7576
76,0.608,0.37185,0.48486,0.5752,0.47018999999999994,2.8719
77,0.616,0.3765,1.2646,0.7002,-0.010264,2.9384
78,0.624,0.38040999999999997,1.5,1.085,-0.34066,2.957
79,0.632,0.38456,0.93506,1.3696,0.1999,2.9326
80,0.64,0.38774000000000003,-0.16504000000000002,1.1001,0.85044,2.8759
81,0.648,0.39091,-0.4248,0.7749,1.0005,2.7957
82,0.6559999999999999,0.3914,-0.1748,0.6499,0.8401799999999999,2.7019
83,0.664,0.39189,-0.014648,0.6001,0.7350899999999999,2.6031
84,0.672,0.38993,0.015137000000000001,0.56982,0.71505,2.5064
85,0.68,0.38798,0.024902,0.54492,0.71017,2.4223
86,0.688,0.38505,0.035156,0.5351600000000001,0.70528,2.35
87,0.696,0.38236,0.040039,0.54004,0.70039,2.2815
88,0.7040000000000001,0.3787,0.050293,0.52979,0.69013,2.2209
89,0.7120000000000001,0.37503000000000003,0.060059,0.54492,0.68524,2.1701
90,0.72,0.36891999999999997,0.070312,0.52979,0.67498,2.1271
91,0.728,0.36306,0.080078,0.54004,0.67009,2.089
92,0.736,0.355,0.1001,0.52979,0.6603100000000001,2.0528
93,0.7440000000000001,0.34693,0.11523,0.54492,0.65005,2.0166
94,0.752,0.33887,0.13525,0.5351600000000001,0.6349,1.9765
95,0.76,0.33081,0.1499,0.55518,0.6202300000000001,1.9335
96,0.768,0.32299,0.17529,0.54004,0.6002,1.8856
97,0.7759999999999999,0.31517,0.19530999999999998,0.55518,0.5899300000000001,1.8348
98,0.784,0.30858,0.22021,0.54492,0.565,1.7889
99,0.792,0.30198,0.24511999999999998,0.55518,0.54985,1.7488
100,0.8,0.29636,0.27002,0.54004,0.52981,1.7077
101,0.8079999999999999,0.29098,0.28515999999999997,0.55518,0.52004,1.6706
102,0.816,0.28708,0.30518,0.5498,0.49511000000000005,1.6393
103,0.8240000000000001,0.28317,0.31982,0.56006,0.49022,1.6158
104,0.8320000000000001,0.28071999999999997,0.33008000000000004,0.55518,0.47996000000000005,1.6002
105,0.84,0.27852,0.33984000000000003,0.58496,0.47018999999999994,1.5914
106,0.848,0.27779,0.3501,0.59521,0.47018999999999994,1.5894
107,0.856,0.27706,0.33984000000000003,0.6098600000000001,0.47996000000000005,1.5914
108,0.8640000000000001,0.27779,0.31006,0.62012,0.50978,1.5953
109,0.872,0.27852,0.26514,0.62988,0.54008,1.6002
110,0.88,0.28121,0.21484,0.63477,0.58016,1.6051
111,0.888,0.2839,0.16504000000000002,0.625,0.60997,1.609
112,0.8959999999999999,0.28805,0.125,0.63477,0.6451600000000001,1.6109
113,0.904,0.29220999999999997,0.095215,0.62012,0.6603100000000001,1.609
114,0.912,0.29612,0.080078,0.63477,0.67009,1.6031
115,0.92,0.30002,0.075195,0.625,0.67498,1.5934
116,0.9279999999999999,0.30344,0.070312,0.6450199999999999,0.68524,1.5806
117,0.9359999999999999,0.30711,0.075195,0.625,0.67498,1.565
118,0.9440000000000001,0.31029,0.080078,0.63477,0.68035,1.5464
119,0.9520000000000001,0.31346,0.080078,0.625,0.67498,1.5239
120,0.96,0.31639,0.080078,0.63477,0.67498,1.5005
121,0.968,0.31933,0.084961,0.625,0.67498,1.4751
122,0.976,0.32104,0.09033200000000001,0.6401399999999999,0.67009,1.4487
123,0.9840000000000001,0.32275,0.095215,0.62988,0.67009,1.4272
124,0.992,0.32348000000000005,0.1001,0.6450199999999999,0.6652,1.4076
125,1.0,0.32421,0.10497999999999999,0.625,0.6603100000000001,1.3832
126,1.008,0.32397,0.10497999999999999,0.6401399999999999,0.6603100000000001,1.3568
127,1.016,0.32397,0.10497999999999999,0.625,0.65494,1.3294
128,1.024,0.32323,0.13525,0.6450199999999999,0.6300100000000001,1.3021
129,1.032,0.32275,0.20508,0.6499,0.58504,1.2757
130,1.04,0.32226,0.22998000000000002,0.6748,0.565,1.2483
131,1.048,0.32177,0.25488,0.6748,0.54497,1.2209
132,1.056,0.32128,0.24511999999999998,0.66992,0.54985,1.1935
