,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,380,372.0
1,741,747.0
2,1133,1121.0
3,1485,1491.0
4,1893,1865.0
5,2250,2240.0
6,2624,2615.0
7,3007,2995.0
8,3380,3375.0
9,3761,3749.0
10,4126,4127.0
11,4496,4491.0
12,4865,4866.0
13,5243,5241.0
14,5630,5615.0
15,6009,5990.0
16,6383,6370.0
17,6770,6750.0
18,7130,7130.0
19,7498,7494.0
20,7889,7872.0
21,8228,8236.0
22,8611,8621.0
23,8993,8991.0
24,9367,9371.0
25,9741,9735.0
26,10111,10109.0
27,10515,10500.0
28,10841,10859.0
29,11163,11228.0
30,11613,11617.0
31,11991,11997.0
32,12339,12303.0
33,12752,12741.0
34,13135,13115.0
35,13500,13490.0
36,13865,13865.0
37,14257,14245.0
38,14622,14625.0
39,15000,14984.0
40,15376,15372.0
41,15754,15741.0
42,16115,16127.0
43,16493,16485.0
44,16867,16865.0
45,17263,17235.0
46,17611,17620.0
47,17998,17989.0
48,18359,18369.0
49,18746,18739.0
50,19104,19122.0
51,19487,19491.0
52,19874,19861.0
53,20239,20235.0
54,20630,20615.0
55,20983,20985.0
56,21378,21365.0
57,21752,21745.0
58,22117,22114.0
59,22504,22508.0
60,22863,22861.0
61,23250,23247.0
62,23620,23611.0
63,23998,23991.0
64,24363,24365.0
65,24750,24740.0
66,25128,25115.0
67,25493,25484.0
68,25876,25859.0
69,26246,26239.0
70,26613,26606.0
71,26991,26986.0
72,27383,27366.0
73,27730,27735.0
74,28126,28115.0
75,28483,28485.0
76,28883,28865.0
77,29261,29245.0
78,29604,29614.0
79,30011,29999.0
80,30376,30367.0
81,30737,30741.0
82,31115,31121.0
83,31515,31491.0
84,31846,31844.0
85,32246,32235.0
86,32624,32609.0
87,32998,32984.0
88,33372,33369.0
89,33759,33739.0
90,34117,34127.0
91,34491,34497.0
92,34878,34871.0
93,35252,35246.0
94,35626,35600.0
95,36000,36001.0
96,36374,36365.0
97,36739,36750.0
98,37104,37114.0
99,37504,37494.0
100,37854,37861.0
101,38237,38236.0
102,38628,38611.0
103,38989,38991.0
104,39363,39371.0
105,39746,39735.0
106,40115,40109.0
107,40493,40495.0
108,40867,40864.0
109,41259,41244.0
110,41617,41617.0
111,41996,41991.0
112,42357,42361.0
113,42761,42746.0
114,43130,43121.0
115,43509,43495.0
116,43887,43865.0
117,44248,44224.0
118,44609,44614.0
119,45000,44978.0
120,45376,45356.0
121,45733,45747.0
122,46120,46116.0
123,46480,46491.0
124,46841,46860.0
125,47254,47245.0
126,47615,47615.0
127,47976,47979.0
128,48367,48369.0
129,48746,48749.0
130,49087,49117.0
131,49087,49491.0
132,49509,49866.0
133,49883,50235.0
134,50230,50605.0
135,50596,50985.0
136,50996,51370.0
137,51374,51745.0
138,51743,52119.0
139,52122,52489.0
140,52487,52872.0
141,52846,53231.0
142,53237,53616.0
143,53620,53980.0
144,53998,54360.0
145,54376,54740.0
146,54746,55120.0
147,55115,55489.0
148,55498,55864.0
149,55885,56244.0
150,56241,56617.0
151,56613,56991.0
152,56983,57361.0
153,57370,57730.0
154,57739,58110.0
155,58117,58485.0
156,58491,58859.0
157,58874,59229.0
158,59257,59614.0
159,59609,59989.0
160,59996,
