,Time [s], RESP, II, V, AVR, PLETH
0,0.0,0.1301,1.5039,1.5039,-0.49805,0.50049
1,0.008,0.11262,1.5039,1.5039,-0.49805,0.49756000000000006
2,0.016,0.093204,1.5039,1.4529,-0.44336000000000003,0.49462
3,0.024,0.06990299999999999,1.5039,1.3529,-0.35938000000000003,0.49168999999999996
4,0.032,0.046602,1.4235,1.2529,-0.27344,0.48778
5,0.04,0.021359,1.3078,1.1569,-0.20508,0.48485
6,0.048,-0.0038835000000000002,1.1863,1.0824,-0.12891,0.48289
7,0.055999999999999994,-0.025243,1.0961,1.0275,-0.07421900000000001,0.47996000000000005
8,0.064,-0.046602,1.0471,0.99216,-0.044922000000000004,0.47801000000000005
9,0.07200000000000001,-0.06601900000000001,1.002,0.96667,-0.013672,0.47507
10,0.08,-0.083495,0.96667,0.96078,0.009765600000000001,0.47213999999999995
11,0.08800000000000001,-0.09514600000000001,0.94706,0.9509799999999999,0.019531,0.46921
12,0.096,-0.1068,0.93725,0.9509799999999999,0.019531,0.46628000000000003
13,0.10400000000000001,-0.11456,0.9215700000000001,0.9509799999999999,0.041016000000000004,0.46334
14,0.11199999999999999,-0.12039000000000001,0.9058799999999999,0.9509799999999999,0.050781,0.46041000000000004
15,0.12,-0.12233,0.9215700000000001,0.96078,0.03125,0.45748
16,0.128,-0.12233,0.91176,0.94706,0.041016000000000004,0.45455
17,0.136,-0.11845,0.93137,0.95686,0.03125,0.45161
18,0.14400000000000002,-0.11262,0.9254899999999999,0.9509799999999999,0.035156,0.44966000000000006
19,0.152,-0.10097,0.91569,0.95686,0.044922000000000004,0.44868
20,0.16,-0.091262,0.9254899999999999,0.96078,0.035156,0.44575
21,0.168,-0.073786,0.9215700000000001,0.95686,0.044922000000000004,0.43206000000000006
22,0.17600000000000002,-0.056311,0.93725,0.9509799999999999,0.03125,0.41251000000000004
23,0.184,-0.033010000000000005,0.9254899999999999,0.9509799999999999,0.041016000000000004,0.40078
24,0.192,-0.0097087,0.9215700000000001,0.9509799999999999,0.03125,0.39198
25,0.2,0.021359,0.9254899999999999,0.94706,0.041016000000000004,0.38611999999999996
26,0.20800000000000002,0.050485,0.93725,0.94706,0.019531,0.38025
27,0.21600000000000003,0.085437,0.9254899999999999,0.9509799999999999,0.03125,0.37537
28,0.22399999999999998,0.12233,0.9254899999999999,0.9411799999999999,0.03125,0.37146
29,0.23199999999999998,0.16310999999999998,0.9215700000000001,0.9411799999999999,0.035156,0.36755
30,0.24,0.20583,0.9254899999999999,0.94706,0.019531,0.36364
31,0.248,0.25049,0.9215700000000001,0.93725,0.03125,0.35973
32,0.256,0.29515,0.9254899999999999,0.93725,0.025391,0.35777
33,0.264,0.34175,0.9254899999999999,0.9411799999999999,0.025391,0.35484
34,0.272,0.39029,0.9254899999999999,0.93137,0.019531,0.35191
35,0.28,0.43688999999999995,0.9215700000000001,0.93137,0.03125,0.35093
36,0.28800000000000003,0.48544,0.93137,0.9411799999999999,0.019531,0.34995
37,0.29600000000000004,0.53398,0.93725,0.95686,0.025391,0.34995
38,0.304,0.5825199999999999,0.96078,0.9862700000000001,0.015625,0.35093
39,0.312,0.62913,0.9764700000000001,1.002,0.009765600000000001,0.35191
40,0.32,0.67573,0.95686,0.99608,0.025391,0.35484
41,0.32799999999999996,0.71845,0.96667,0.97059,0.015625,0.35875
42,0.336,0.7631100000000001,0.9509799999999999,0.93137,0.019531,0.36364
43,0.344,0.80388,0.95686,0.9058799999999999,0.0,0.3695
44,0.35200000000000004,0.8466,0.9509799999999999,0.9058799999999999,0.005859399999999999,0.37439
