,Time [s], PLETH, RESP, II, V, AVR
0,0.0,0.59922,-0.056235,0.3451,0.59608,0.58039
1,0.008,0.59042,-0.06357,0.36471,0.5902,0.5549
2,0.016,0.5826,-0.070905,0.38431,0.58431,0.5451
3,0.024,0.5747800000000001,-0.075795,0.37451,0.6,0.5607800000000001
4,0.032,0.56696,-0.080685,0.4,0.58039,0.52941
5,0.04,0.56109,-0.085575,0.42941,0.5705899999999999,0.49412
6,0.048,0.55621,-0.090465,0.44902,0.5745100000000001,0.47451000000000004
7,0.055999999999999994,0.55132,-0.095355,0.43922,0.5607800000000001,0.4549
8,0.064,0.5474100000000001,-0.10024,0.46471,0.5607800000000001,0.42549
9,0.07200000000000001,0.54448,-0.10513,0.48039,0.55098,0.4
10,0.08,0.54252,-0.11002,0.50588,0.5705899999999999,0.37059000000000003
11,0.08800000000000001,0.54057,-0.11490999999999998,0.5451,0.50588,0.32353000000000004
12,0.096,0.53861,-0.1198,0.6,0.48431,0.2549
13,0.10400000000000001,0.53666,-0.12469000000000001,0.61961,0.46078,0.21373000000000003
14,0.11199999999999999,0.53568,-0.12958,0.6352899999999999,0.44902,0.2
15,0.12,0.53372,-0.13447,0.65098,0.47058999999999995,0.18431
16,0.128,0.53275,-0.13692000000000001,0.6862699999999999,0.43528999999999995,0.16471
17,0.136,0.53177,-0.13935999999999998,0.6902,0.43528999999999995,0.14902
18,0.14400000000000002,0.53177,-0.14181,0.69608,0.43922,0.15882000000000002
19,0.152,0.53177,-0.14425,0.6705899999999999,0.42941,0.19412000000000001
20,0.16,0.53177,-0.1467,0.62941,0.48039,0.23922
21,0.168,0.53177,-0.14914000000000002,0.58431,0.49412,0.3
22,0.17600000000000002,0.53177,-0.15403,0.52549,0.52549,0.4
23,0.184,0.53177,-0.15648,0.46078,0.5549,0.46471
24,0.192,0.53177,-0.15648,0.42941,0.58039,0.51961
25,0.2,0.53177,-0.15892,0.3902,0.60588,0.58431
26,0.20800000000000002,0.53177,-0.16137,0.33529000000000003,0.61961,0.65098
27,0.21600000000000003,0.53177,-0.16380999999999998,0.3098,0.6098,0.6803899999999999
28,0.22399999999999998,0.53079,-0.16380999999999998,0.29412,0.60588,0.6902
29,0.23199999999999998,0.52884,-0.16626,0.26863000000000004,0.61569,0.7058800000000001
30,0.24,0.52688,-0.1687,0.26863000000000004,0.5902,0.7
31,0.248,0.52493,-0.17115,0.27843,0.60588,0.7098
