,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,189,187
1,476,472
2,737,747
3,1037,1042
4,1324,1322
5,1646,1649
6,2054,2061
7,2350,2346
8,2628,2625
9,2924,2910
10,3220,3222
11,3528,3522
12,3848,3842
13,4191,4180
14,4517,4513
15,4883,4892
16,5226,5230
17,5565,5557
18,5922,5937
19,6283,6296
20,6626,6634
21,7004,7035
22,7409,7436
23,7776,7788
24,8128,8131
25,8507,8526
26,8841,8864
27,9193,9202
28,9533,9540
29,9907,9925
30,10250,10263
31,10567,10590
32,10876,10906
33,11202,11223
34,11526,11548
35,11830,11844
36,12143,12150
37,12483,12487
38,12835,12841
39,13170,13189
40,13517,13527
41,13861,13865
42,14217,14229
43,14583,14582
44,14930,14941
45,15272,15272
46,15641,15652
47,16024,16021
48,16393,16391
49,16776,16797
50,17146,17140
51,17511,17536
52,17854,17873
53,18189,18206
54,18515,18528
55,18857,18858
56,19196,19191
57,19526,19528
58,19878,19892
59,20235,20246
60,20617,20615
61,21000,21001
62,21330,21333
63,21691,21713
64,22052,22051
65,22417,22420
66,22785,22793
67,23159,23157
68,23498,23505
69,23841,23854
70,24172,24170
71,24498,24518
72,24867,24861
73,25220,25231
74,25576,25590
75,25915,25922
76,26287,26268
77,26648,26659
78,26996,26997
79,27343,27340
80,27722,27730
81,28087,28094
82,28461,28464
83,28826,28828
84,29183,29166
85,29548,29551
86,29909,29894
87,30237,30245
88,30602,30620
89,30959,30958
90,31341,31338
91,31685,31702
92,32102,32092
93,32446,32441
94,32807,32831
95,33176,33185
96,33541,33570
97,33909,33911
98,34274,34286
99,34639,34655
100,35009,35030
101,35387,35378
102,35709,35726
103,36087,36090
104,36452,36454
105,36783,36792
106,37152,37146
107,37513,37513
108,37846,37856
109,38224,38210
110,38559,38584
111,38954,38954
112,39324,39344
113,39672,39677
114,40046,40057
115,40420,40426
116,40802,40806
117,41167,41191
118,41526,41532
119,41870,41870
120,42230,42224
121,42587,42598
122,42943,42936
123,43287,43290
124,43704,43696
125,44139,44160
126,44483,44498
127,44843,44841
128,45189,45203
129,45567,45562
130,45889,45910
131,46267,46264
132,46663,46649
133,46998,46992
134,47354,47367
135,47707,47710
136,48063,48058
137,48428,48438
138,48809,48784
139,49139,49133
140,49500,49486
141,49865,49877
142,50200,50209
143,50543,50557
144,50904,50900
145,51243,51280
146,51626,51629
147,51991,51972
148,52335,52357
149,52672,52677
150,53007,53004
151,53320,53331
152,53672,53674
153,54024,54017
154,54398,54392
155,54763,54756
156,55098,55109
157,55467,55479
158,55807,55822
159,56167,56165
160,56509,56511
161,56870,56849
162,57252,57245
163,57626,57651
164,57974,57994
165,58352,58332
166,58704,58728
167,59078,59071
168,59426,59414
169,59809,59809
