,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,350,377.0
1,820,794.0
2,1172,1164.0
3,1620,1612.0
4,1920,1913.0
5,2298,2298.0
6,2641,2631.0
7,3107,3100.0
8,3589,3565.0
9,4000,4016.0
10,4435,4439.0
11,4617,4856.0
12,4835,5093.0
13,5109,5431.0
14,5417,5763.0
15,5783,6265.0
16,6283,6687.0
17,6687,7003.0
18,7000,7484.0
19,7478,7920.0
20,7924,8384.0
21,8393,8875.0
22,8893,9344.0
23,9354,9809.0
24,9798,10263.0
25,10254,10685.0
26,10693,11133.0
27,11133,11590.0
28,11604,12086.0
29,12091,12572.0
30,12600,13042.0
31,13000,13495.0
32,13504,13981.0
33,14004,14424.0
34,14439,14883.0
35,14904,15335.0
36,15341,15810.0
37,15802,16269.0
38,16263,16675.0
39,16667,17103.0
40,17085,17525.0
41,17546,17995.0
42,17980,18417.0
43,18411,18832.0
44,18830,19270.0
45,19291,19713.0
46,19726,20162.0
47,20165,20499.0
48,20483,20863.0
49,20883,21265.0
50,21248,21766.0
51,21765,22267.0
52,22257,22756.0
53,22772,23252.0
54,23276,23701.0
55,23733,24165.0
56,24185,24408.0
57,24415,24872.0
58,24893,25331.0
59,25337,25785.0
60,25789,26234.0
61,26267,26696.0
62,26713,27155.0
63,27152,27609.0
64,27609,28036.0
65,28035,28416.0
66,28422,28791.0
67,28817,29255.0
68,29222,29683.0
69,29687,30119.0
70,30124,30493.0
71,30498,30905.0
72,30937,31332.0
73,31307,31776.0
74,31763,32193.0
75,32193,32583.0
76,32580,32942.0
77,32959,33338.0
78,33328,33681.0
79,33680,34164.0
80,34157,34576.0
81,34596,35040.0
82,35065,35478.0
83,35496,35900.0
84,35904,36333.0
85,36348,36766.0
86,36783,37209.0
87,37200,37687.0
88,37693,38152.0
89,38124,38611.0
90,38620,39049.0
91,39028,39376.0
92,39385,39714.0
93,39715,40109.0
94,40120,40558.0
95,40546,41007.0
96,41015,41443.0
97,41452,41912.0
98,41917,42340.0
99,42343,42746.0
100,42726,43184.0
101,43165,43553.0
102,43548,43991.0
103,44000,44424.0
104,44439,44820.0
105,44822,45245.0
106,45254,45694.0
107,45693,46158.0
108,46159,46596.0
109,46585,47066.0
110,47080,47525.0
111,47528,47984.0
112,47985,48427.0
113,48415,48790.0
114,48741,49228.0
115,49217,49660.0
116,49639,50141.0
117,49952,50573.0
118,50122,51006.0
119,50561,51381.0
120,51009,51808.0
121,51404,52225.0
122,51787,52666.0
123,52243,53109.0
124,52667,53558.0
125,53111,53943.0
126,53533,54307.0
127,53954,54714.0
128,54328,55025.0
129,54707,55431.0
130,55033,55891.0
131,55437,56316.0
132,55889,56791.0
133,56330,57176.0
134,56796,57503.0
135,57152,57941.0
136,57513,58379.0
137,57943,58759.0
138,58378,59171.0
139,58726,59704.0
140,59213,
141,59700,
