,Time [s], RESP, PLETH, I, MCL, II
0,0.0,-0.2445,0.26882,0.51569,0.5902,0.66992
1,0.008,-0.24694000000000002,0.26197,0.5098,0.61569,0.69531
2,0.016,-0.24939,0.25806,0.51569,0.6352899999999999,0.70898
3,0.024,-0.25183,0.25611,0.5098,0.61569,0.69922
4,0.032,-0.25428,0.25611,0.51569,0.59608,0.73047
5,0.04,-0.25672,0.25904,0.5098,0.53922,0.75
6,0.048,-0.25916999999999996,0.26882,0.50588,0.48431,0.7441399999999999
7,0.055999999999999994,-0.26406,0.28446,0.5,0.48039,0.7539100000000001
8,0.064,-0.2665,0.30694,0.5,0.47058999999999995,0.76562
9,0.07200000000000001,-0.27384000000000003,0.33529000000000003,0.49412,0.46078,0.7441399999999999
10,0.08,-0.27873000000000003,0.36851999999999996,0.47451000000000004,0.48039,0.69922
11,0.08800000000000001,-0.28362,0.40469,0.4549,0.4902,0.64453
12,0.096,-0.28851,0.44183999999999996,0.4451,0.5098,0.57422
13,0.10400000000000001,-0.29584,0.47801000000000005,0.42941,0.5098,0.5253899999999999
14,0.11199999999999999,-0.30318,0.5112399999999999,0.42549,0.5,0.51953
15,0.12,-0.30806999999999995,0.53861,0.42549,0.49412,0.50977
16,0.128,-0.31296,0.56207,0.41961000000000004,0.4902,0.49413999999999997
17,0.136,-0.32029,0.5845600000000001,0.41961000000000004,0.48431,0.48047
18,0.14400000000000002,-0.32518,0.6050800000000001,0.41961000000000004,0.48039,0.47461000000000003
19,0.152,-0.33007,0.62463,0.41568999999999995,0.47451000000000004,0.47461000000000003
20,0.16,-0.33496,0.64125,0.41568999999999995,0.47058999999999995,0.4707
21,0.168,-0.3423,0.65494,0.41568999999999995,0.46471,0.4707
22,0.17600000000000002,-0.34719,0.66764,0.4,0.51961,0.49413999999999997
23,0.184,-0.35452,0.67742,0.39411999999999997,0.62549,0.51562
24,0.192,-0.35941,0.6862199999999999,0.47451000000000004,0.67647,0.6289100000000001
25,0.2,-0.36675,0.69208,0.6862699999999999,0.73529,0.69922
26,0.20800000000000002,-0.37408,0.69501,0.93137,0.8607799999999999,0.54492
27,0.21600000000000003,-0.38142,0.69599,1.0059,0.86667,-0.025391
28,0.22399999999999998,-0.38875,0.69404,0.5705899999999999,0.73137,-0.45311999999999997
