,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,367,409
1,780,757
2,1263,1227
3,1746,1744
4,2280,2303
5,2754,2757
6,3207,3243
7,3698,3758
8,4209,4228
9,4657,4634
10,5148,5151
11,5626,5610
12,6091,6101
13,6552,6549
14,7087,7082
15,7572,7571
16,8007,8004
17,8493,8505
18,9041,9044
19,9541,9545
20,10080,10083
21,10507,10558
22,10980,11038
23,11443,11422
24,11913,11960
25,12400,12387
26,12878,12830
27,13300,13279
28,13787,13812
29,14278,14276
30,14700,14704
31,15185,15219
32,15646,15668
33,16337,16359
34,16767,16760
35,17220,17198
36,17733,17789
37,18189,18232
38,18667,18665
39,19130,19101
40,19622,19660
41,20048,20093
42,20530,20578
43,21004,21006
44,21465,21418
45,21909,21956
46,22378,22373
47,22802,22814
48,23233,23263
49,23680,23637
50,24167,24181
51,24607,24561
52,25085,25125
53,25593,25584
54,26033,26038
55,26483,26485
56,26974,27002
57,27413,27419
58,27952,27947
59,28391,28358
60,28883,28875
61,29330,29303
62,29800,29830
63,30285,30288
64,30763,30799
65,31254,31243
66,31715,31749
67,32211,32256
68,32667,32720
69,33141,33179
70,33602,33607
71,34096,34064
72,34552,34555
73,34983,34993
74,35435,35431
75,35874,35890
76,36317,36344
77,36796,36824
78,37270,37272
79,37667,37708
80,38141,38173
81,38585,38584
82,39024,39017
83,39480,39450
84,39885,39867
85,40341,40358
86,40785,40774
87,41215,41268
88,41670,41691
89,42143,42144
90,42613,42635
91,43078,43078
92,43583,43575
93,44052,43997
94,44483,44509
95,44930,44941
96,45398,45383
97,45802,45794
98,46272,46301
99,46767,46792
100,47180,47208
101,47654,47683
102,48133,48148
103,48607,48617
104,49043,49048
105,49470,49465
106,49991,49993
107,50430,50389
108,50904,50900
109,51326,51323
110,51809,51829
111,52313,52336
112,52793,52788
113,53250,53247
114,53741,53732
115,54207,54197
116,54680,54666
117,55150,55157
118,55598,55606
119,56076,56049
120,56504,56501
121,57000,56997
122,57439,57414
123,57861,57846
124,58309,58290
125,58787,58828
126,59278,59297
127,59739,59751
