,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,441,441
1,920,910
2,1433,1412
3,1924,1913
4,2407,2420
5,3007,2989
6,3502,3501
7,4017,4027
8,4504,4491
9,4970,4982
10,5452,5452
11,5922,5922
12,6396,6402
13,6865,6850
14,7317,7325
15,7833,7856
16,8341,8342
17,8863,8880
18,9324,9328
19,9776,9777
20,10228,10241
21,10724,10743
22,11172,11170
23,11643,11638
24,12126,12118
25,12600,12609
26,13078,13078
27,13513,13511
28,13996,13976
29,14461,14466
30,14943,14957
31,15528,15536
32,16037,16037
33,16633,16639
34,17176,17187
35,17693,17689
36,18189,18206
37,18707,18734
38,19313,19317
39,19839,19850
40,20287,20304
41,20791,20784
42,21287,21259
43,21804,21782
44,22365,22357
45,22902,22909
46,23446,23453
47,24063,24049
48,24593,24624
49,25141,25141
50,25680,25648
51,26233,26212
52,26743,26717
53,27209,27208
54,27670,27683
55,28135,28131
56,28648,28664
57,29204,29181
58,29657,29630
59,30072,30082
60,30576,30578
61,31046,31063
62,31546,31533
63,31989,32003
64,32446,32456
65,32928,32916
66,33376,33359
67,33843,33874
68,34413,34439
69,34957,34951
70,35443,35441
71,36057,36027
72,36600,36581
73,37109,37093
74,37646,37650
75,38211,38226
76,38828,38832
77,39328,39313
78,39854,39877
79,40380,40373
80,40946,40938
81,41409,41416
82,41883,41886
83,42361,42345
84,42839,42825
85,43265,43274
86,43730,43717
87,44191,44234
88,44687,44677
89,45120,45129
90,45672,45678
91,46163,46185
92,46680,46686
93,47207,47214
94,47767,47778
95,48254,48259
96,48680,48707
97,49139,49164
98,49643,49655
99,50113,50125
100,50587,50600
101,51091,51122
102,51652,51681
103,52187,52193
104,52680,52656
105,53180,53178
106,53689,53690
107,54224,54265
108,54772,54777
109,55320,55315
110,55872,55848
111,56330,56353
112,56857,56865
113,57409,57466
114,58039,58005
115,58552,58538
116,59083,59102
117,59643,59656
