,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,537,546.0
1,841,821.0
2,1302,1301.0
3,1754,1781.0
4,2163,2150.0
5,2641,2636.0
6,3076,3058.0
7,3498,3491.0
8,4009,3985.0
9,4443,4423.0
10,4870,4861.0
11,5287,5294.0
12,5891,5906.0
13,6296,6265.0
14,6770,6771.0
15,7235,7199.0
16,7711,7682.0
17,8111,8099.0
18,8576,8532.0
19,9093,9070.0
20,9567,9555.0
21,10033,10036.0
22,10511,10532.0
23,10980,10996.0
24,11404,11400.0
25,11896,11912.0
26,12387,12408.0
27,12874,12867.0
28,13326,13363.0
29,13817,13828.0
30,14304,14356.0
31,14743,14772.0
32,15237,15240.0
33,15685,15678.0
34,16111,16106.0
35,16524,16544.0
36,16963,16971.0
37,17354,17356.0
38,17767,17752.0
39,18159,18153.0
40,18602,18596.0
41,19091,19096.0
42,19535,19539.0
43,20000,19998.0
44,20296,20278.0
45,20526,20536.0
46,21030,21038.0
47,21239,21243.0
48,21548,21513.0
49,22078,22056.0
50,22524,22518.0
51,22937,22925.0
52,23333,23363.0
53,23715,23716.0
54,24137,24139.0
55,24520,24513.0
56,24893,24898.0
57,25150,25125.0
58,25480,25526.0
59,25911,25906.0
60,26309,26305.0
61,26709,26712.0
62,27148,27155.0
63,27561,27546.0
64,27983,28005.0
65,28157,28490.0
66,28483,28923.0
67,28917,29356.0
68,29343,29841.0
69,29822,30172.0
70,30176,30694.0
71,30685,31211.0
72,31215,31649.0
73,31646,32077.0
74,32063,32467.0
75,32472,32931.0
76,32924,33412.0
77,33415,33943.0
78,33939,34465.0
79,34461,35014.0
80,35000,35552.0
81,35548,35990.0
82,35961,36407.0
83,36400,36929.0
84,36948,37320.0
85,37326,37698.0
86,37724,38125.0
87,38137,38495.0
88,38502,38759.0
89,38759,39117.0
90,39133,39534.0
91,39550,39967.0
92,39954,40384.0
93,40385,40796.0
94,40802,41228.0
95,41233,41691.0
96,41683,42134.0
97,42122,42582.0
98,42578,42989.0
99,43000,43422.0
100,43417,43875.0
101,43874,44266.0
102,44252,44688.0
103,44696,45113.0
104,45107,45509.0
105,45528,45931.0
106,45924,46417.0
107,46420,46834.0
108,46837,47266.0
109,47259,47799.0
110,47767,48237.0
111,48241,48718.0
112,48676,49148.0
113,49143,49513.0
114,49509,49919.0
115,49904,50320.0
116,50322,50811.0
117,50813,51243.0
118,51239,51755.0
119,51757,52199.0
120,52187,52645.0
121,52659,53094.0
122,53093,53479.0
123,53467,53869.0
124,53876,54297.0
125,54315,54714.0
126,54741,55141.0
127,55128,55569.0
128,55580,55996.0
129,56024,56464.0
130,56448,56891.0
131,56896,57329.0
132,57335,57788.0
133,57791,58263.0
134,58278,58712.0
135,58713,59155.0
136,59157,59577.0
137,59587,59978.0
138,59978,
