,Time [s], II, PLETH, RESP, V, AVR
0,0.0,0.14453,0.63636,0.04059,0.83529,0.7441399999999999
1,0.008,0.15625,0.65689,0.04059,0.83529,0.74023
2,0.016,0.15625,0.67351,0.04059,0.8411799999999999,0.74023
3,0.024,0.16016,0.68817,0.04059,0.8451,0.73438
4,0.032,0.16016,0.6999,0.04059,0.8451,0.73438
5,0.04,0.19530999999999998,0.7087,0.041819999999999996,0.8764700000000001,0.7207
6,0.048,0.31445,0.7165199999999999,0.041819999999999996,0.9254899999999999,0.6601600000000001
7,0.055999999999999994,0.42968999999999996,0.72043,0.04428,0.88039,0.54492
8,0.064,0.5058600000000001,0.72336,0.04551,0.7803899999999999,0.42578
9,0.07200000000000001,0.41016,0.72434,0.04797,0.5745100000000001,0.33008000000000004
10,0.08,0.080078,0.72532,0.050431000000000004,0.44902,0.5058600000000001
11,0.08800000000000001,0.025391,0.72434,0.052890999999999994,0.76667,0.7793
12,0.096,0.13086,0.72239,0.054121,0.87059,0.79492
13,0.10400000000000001,0.15625,0.71848,0.05658099999999999,0.88039,0.75977
14,0.11199999999999999,0.17578,0.71359,0.059040999999999996,0.8902,0.73438
15,0.12,0.17969000000000002,0.7067399999999999,0.061501,0.8960799999999999,0.73047
16,0.128,0.18555,0.69892,0.062731,0.90196,0.7246100000000001
17,0.136,0.18945,0.68915,0.065191,0.90196,0.7207
18,0.14400000000000002,0.20117000000000002,0.67742,0.067651,0.8960799999999999,0.7207
19,0.152,0.20508,0.66471,0.070111,0.90196,0.70898
20,0.16,0.20508,0.652,0.07257100000000001,0.90196,0.69922
21,0.168,0.21094000000000002,0.63636,0.075031,0.90196,0.69922
22,0.17600000000000002,0.2207,0.6207199999999999,0.07749099999999999,0.90196,0.69922
23,0.184,0.2207,0.60411,0.079951,0.90196,0.69922
24,0.192,0.23046999999999998,0.58749,0.082411,0.9058799999999999,0.68555
25,0.2,0.23438,0.57185,0.084871,0.91176,0.67969
26,0.20800000000000002,0.24609,0.55718,0.08733099999999999,0.9058799999999999,0.67578
27,0.21600000000000003,0.25586,0.54448,0.089791,0.9058799999999999,0.66992
28,0.22399999999999998,0.25977,0.53372,0.092251,0.91569,0.66406
29,0.23199999999999998,0.26561999999999997,0.52395,0.094711,0.9215700000000001,0.66406
30,0.24,0.26561999999999997,0.51515,0.098401,0.9215700000000001,0.66406
31,0.248,0.27539,0.50635,0.10086,0.91569,0.6601600000000001
32,0.256,0.27539,0.50049,0.10332000000000001,0.91569,0.6543
33,0.264,0.27539,0.49365,0.10701,0.91569,0.6543
34,0.272,0.2793,0.48778,0.10947,0.9254899999999999,0.66406
35,0.28,0.2793,0.48094,0.11193,0.9254899999999999,0.66992
36,0.28800000000000003,0.26561999999999997,0.4741,0.11439,0.9411799999999999,0.67578
37,0.29600000000000004,0.24609,0.46725,0.11685,0.9411799999999999,0.68945
38,0.304,0.22461,0.46138999999999997,0.11930999999999999,0.9411799999999999,0.70898
39,0.312,0.20508,0.45455,0.12054000000000001,0.93725,0.7207
40,0.32,0.17969000000000002,0.4477,0.12300000000000001,0.93137,0.73438
41,0.32799999999999996,0.16602,0.44183999999999996,0.12423,0.9215700000000001,0.7441399999999999
42,0.336,0.15625,0.43596999999999997,0.12546,0.9058799999999999,0.7441399999999999
43,0.344,0.15039,0.43109,0.12669,0.8960799999999999,0.7441399999999999
44,0.35200000000000004,0.15625,0.4262,0.12915,0.8862700000000001,0.73438
45,0.36,0.16992000000000002,0.42228999999999994,0.13038,0.8764700000000001,0.7207
46,0.368,0.17969000000000002,0.4174,0.13161,0.87059,0.7148399999999999
47,0.376,0.18945,0.41251000000000004,0.13284,0.86667,0.70508
48,0.384,0.19530999999999998,0.40762,0.13407,0.8607799999999999,0.69922
49,0.392,0.20117000000000002,0.40274,0.13407,0.8607799999999999,0.69922
50,0.4,0.20117000000000002,0.39785,0.1353,0.8607799999999999,0.69922
51,0.408,0.20508,0.39296,0.13652999999999998,0.8607799999999999,0.69922
52,0.41600000000000004,0.21094000000000002,0.38905,0.13776,0.8607799999999999,0.69922
53,0.424,0.21484,0.38514,0.13776,0.8607799999999999,0.68945
54,0.43200000000000005,0.21484,0.38123,0.13899,0.86667,0.68945
55,0.44,0.2207,0.37732,0.13776,0.8607799999999999,0.68945
56,0.44799999999999995,0.21484,0.37439,0.13776,0.8607799999999999,0.69531
57,0.456,0.21484,0.37146,0.1353,0.8607799999999999,0.69531
58,0.46399999999999997,0.21094000000000002,0.36851999999999996,0.13284,0.8607799999999999,0.68945
59,0.47200000000000003,0.21484,0.36461,0.12915,0.86667,0.69922
60,0.48,0.2207,0.3607,0.12546,0.86667,0.69531
61,0.488,0.25,0.35679,0.12054000000000001,0.88039,0.67969
