,breaths ann1 [signal sample no], breaths ann2 [signal sample no]
0,224.0,198
1,520.0,541
2,928.0,926
3,1359.0,1348
4,1776.0,1770
5,2202.0,2193
6,2593.0,2604
7,3007.0,3011
8,3450.0,3433
9,3707.0,3702
10,4117.0,4154
11,4683.0,4703
12,5096.0,5088
13,5526.0,5526
14,5939.0,5922
15,6352.0,6359
16,6748.0,6761
17,7178.0,7188
18,7576.0,7587
19,8028.0,8025
20,8424.0,8426
21,8841.0,8838
22,9267.0,9260
23,9693.0,9693
24,10102.0,10109
25,10524.0,10526
26,10924.0,10933
27,11352.0,11337
28,11778.0,11775
29,12174.0,12171
30,12583.0,12598
31,13013.0,13010
32,13430.0,13443
33,13843.0,13849
34,14265.0,14266
35,14678.0,14677
36,15107.0,15103
37,15515.0,15520
38,15937.0,15937
39,16367.0,16359
40,16759.0,16760
41,17180.0,17193
42,17607.0,17609
43,18011.0,18026
44,18441.0,18443
45,18835.0,18842
46,19274.0,19280
47,19683.0,19687
48,20122.0,20135
49,20530.0,20520
50,20939.0,20948
51,21352.0,21365
52,21761.0,21761
53,22200.0,22193
54,22607.0,22592
55,23024.0,23020
56,23446.0,23447
57,23846.0,23859
58,24280.0,24286
59,24685.0,24672
60,25102.0,25115
61,25550.0,25521
62,25920.0,25938
63,26343.0,26363
64,26770.0,26749
65,27200.0,27192
66,27587.0,27577
67,28043.0,28031
68,28426.0,28437
69,28861.0,28865
70,29287.0,29276
71,29670.0,29672
72,30102.0,30124
73,30502.0,30504
74,31376.0,30963
75,31780.0,31354
76,32202.0,31786
77,32615.0,32182
78,32880.0,32620
79,33302.0,32879
80,33689.0,33290
81,34126.0,33707
82,34565.0,34122
83,34965.0,34539
84,35387.0,34966
85,35822.0,35378
86,36213.0,35795
87,36626.0,36222
88,37052.0,36629
89,37876.0,37046
90,38311.0,37872
91,38720.0,38305
92,39154.0,38706
93,39554.0,39133
94,39959.0,39540
95,40376.0,39978
96,40815.0,40368
97,41198.0,40811
98,41604.0,41207
99,42026.0,41611
100,42448.0,42028
101,42852.0,42445
102,43283.0,42857
103,43696.0,43279
104,44100.0,43706
105,44539.0,44086
106,44939.0,44535
107,45367.0,44947
108,45789.0,45367
109,46193.0,45784
110,46615.0,46195
111,47046.0,46617
112,47472.0,47024
113,47863.0,47441
114,48280.0,47852
115,48693.0,48280
116,49130.0,48691
117,49522.0,49159
118,49952.0,49518
119,50383.0,49945
120,50778.0,50362
121,51200.0,50784
122,51626.0,51185
123,52039.0,51613
124,52452.0,52019
125,52876.0,52452
126,53276.0,52856
127,53680.0,53284
128,54107.0,53685
129,54528.0,54133
130,54954.0,54518
131,55367.0,54962
132,55780.0,55352
133,56185.0,55801
134,56609.0,56186
135,57039.0,56622
136,57452.0,57018
137,57865.0,57456
138,58274.0,57862
139,58700.0,58284
140,59122.0,58691
141,59535.0,59113
142,59952.0,59535
143,,59952
