,Time [s], PLETH, RESP, II, V, AVR
0,0.0,1.1848,0.8903,0.13978,0.84473,0.81006
1,0.008,1.1642,0.89543,0.11975,0.8598600000000001,0.8300799999999999
2,0.016,1.1466,0.90081,0.094819,0.8901399999999999,0.8598600000000001
3,0.024,1.1349,0.9052,0.17498,0.86475,0.81006
4,0.032,1.1339,0.9096,0.49511000000000005,0.68018,0.5752
5,0.04,1.1515,0.91302,1.0806,0.3252,0.10985999999999999
6,0.048,1.1828,0.91669,1.3206,0.12012,-0.064941
7,0.055999999999999994,1.2336,0.9196200000000001,0.56989,0.26514,0.38525
8,0.064,1.3157,0.9228,-0.030302999999999997,0.50488,0.7998
9,0.07200000000000001,1.4262,0.92524,-0.10557000000000001,0.6748,0.9096700000000001
10,0.08,1.5630000000000002,0.9279299999999999,-0.020528,0.79492,0.9248
11,0.08800000000000001,1.7185,0.9301200000000001,0.0043988,0.8847700000000001,0.92969
12,0.096,1.8856,0.93232,0.029814,0.90479,0.90479
13,0.10400000000000001,2.0538,0.9342799999999999,0.039589,0.91504,0.90479
14,0.11199999999999999,2.217,0.9362299999999999,0.049852999999999995,0.91504,0.89502
15,0.12,2.3666,0.93794,0.054741,0.91504,0.8901399999999999
16,0.128,2.4956,0.93965,0.054741,0.91504,0.8847700000000001
17,0.136,2.6022,0.9411200000000001,0.059628999999999995,0.91504,0.8847700000000001
18,0.14400000000000002,2.6833,0.94283,0.069892,0.91504,0.8847700000000001
19,0.152,2.7341,0.94478,0.069892,0.9096700000000001,0.8798799999999999
20,0.16,2.7605,0.9467399999999999,0.07478,0.91504,0.875
21,0.168,2.7732,0.94894,0.07966799999999999,0.91504,0.8701200000000001
22,0.17600000000000002,2.7683,0.95114,0.094819,0.91504,0.86475
23,0.184,2.7468,0.95309,0.099707,0.91504,0.8598600000000001
24,0.192,2.7097,0.95529,0.10459,0.91504,0.8598600000000001
25,0.2,2.6579,0.9570000000000001,0.11485999999999999,0.91504,0.85498
26,0.20800000000000002,2.5924,0.9587100000000001,0.11485999999999999,0.9199200000000001,0.8598600000000001
27,0.21600000000000003,2.5142,0.9596899999999999,0.11485999999999999,0.92969,0.8598600000000001
28,0.22399999999999998,2.4252,0.96091,0.10948,0.93994,0.8598600000000001
